	Standard Type	Standard Value	Smiles	pKi
526	Ki	13.0	C[C@@H]1C[C@@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C	7.8861
527	Ki	15.0	C[C@H]1C[C@@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C	7.8239
528	Ki	61.0	C[C@@H]1C[C@H](N1C(=O)[C@H]2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C	7.2147
531	Ki	3000.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC=C(C=C3)F	5.5229
532	Ki	138.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC=CC=C3I	6.8601
533	Ki	300.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC=C(C=C3)I	6.5229
534	Ki	48.9	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCC3=CC(=CC=C3)I	7.3107
535	Ki	430.0	C1CN(CCC1C(C2=CC=C(C=C2)F)O)CCC3=CC=CC=C3I	6.3665
537	Ki	1770.0	CC1=C(C2=C(N1)C=CC=C2NC(=O)C3=CC=C(C=C3)F)CCN(C)C	5.752
538	Ki	26.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)OC	7.585
544	Ki	19.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)O)S(=O)(=O)C3=CC=CC=C3	7.7212
546	Ki	490.0	CN1CCN(CC1)CCC2=CN(C3=C2C=C(C=C3)OC)S(=O)(=O)C4=CC=CC=C4	6.3098
547	Ki	44.0	COC1=CC2=C(C=C1)N(C=C2CCN3CCCC3)S(=O)(=O)C4=CC=CC=C4	7.3565
548	Ki	12.0	CC1=C(C2=C(N1S(=O)(=O)C3=CC=CC=C3)C=CC(=C2)OC)CCN(C)C	7.9208
549	Ki	8.3	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CS3	8.0809
550	Ki	2.4	C1=CC=C(C=C1)S(=O)(=O)N2C=CC3=C(C=CC=C32)CCN	8.6198
568	Ki	260.0	CN(C)CCC1=C2C=C(NC2=CC=C1)C(=O)C3=CC=CC=C3	6.585
569	Ki	63.0	CN(C)CCC1CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3	7.2007
570	Ki	40.0	COC1=CC2=C(C=C1)N(C=C2CCN)S(=O)(=O)C3=CC=CC=C3	7.3979
571	Ki	45.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=C2C=CC(=C3)OC)CCN(C)C	7.3468
572	Ki	350.0	COC1=CC2=C(C=C1)N(C=C2CCN3CCCCC3)S(=O)(=O)C4=CC=CC=C4	6.4559
573	Ki	1700.0	COC1=CC2=C(C=C1)N(C=C2CCN3CCOCC3)S(=O)(=O)C4=CC=CC=C4	5.7696
574	Ki	320.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OCC3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4	6.4949
575	Ki	54.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)O)C(=O)C3=CC=CC=C3	7.2676
576	Ki	7.9	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC(=CC=C3)Cl	8.1024
605	Ki	9.8	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC4=CC=CC=C4C=C3	8.0088
