	Standard Type	Standard Value	Smiles	pKi
4515	Ki	18.0	C1CNCCC1CNC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.7447
4516	Ki	4.0	C1C[C@H](CNC1)C(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.3979
4518	Ki	3.2	C1C[C@@H](CNC1)C(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.4949
4550	Ki	64.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=C(C=C4)F	7.1938
4551	Ki	31.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC(=CC=C4)Cl	7.5086
4552	Ki	22.0	CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC3=C2N=C(O3)N4CCNCC4	7.6576
4553	Ki	22.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC(=C4)C(F)(F)F	7.6576
4556	Ki	196.0	C1CN(CCN1)C2=NC3=C(O2)C=C(C=C3)S(=O)(=O)C4=CC=CC5=CC=CC=C54	6.7077
4557	Ki	7.1	C1CN(CCN1)C2=NC3=C(O2)C(=CC=C3)S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.1487
4560	Ki	36.0	CCCN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.4437
4561	Ki	13.0	CC(C)N1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.8861
4562	Ki	88.0	CCCCN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.0555
4563	Ki	79.0	C1CCC(C1)N2CCN(CC2)C3=NC4=C(O3)C=CC=C4S(=O)(=O)C5=CC=CC6=CC=CC=C65	7.1024
4564	Ki	33.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=C(C=C4)C(F)(F)F	7.4815
4565	Ki	25.0	COC1=CC(=CC=C1)S(=O)(=O)C2=CC=CC3=C2N=C(O3)N4CCNCC4	7.6021
4568	Ki	13.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=C(C=CC(=C4)Cl)Cl	7.8861
4571	Ki	3.1	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.5086
4574	Ki	52.0	C1CN(CCN1)C2=NC3=C(O2)C=CC(=C3)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.284
4575	Ki	12.0	CCN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.9208
4578	Ki	9.7	CN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.0132
4581	Ki	176.0	CC(C)CN1CCN(CC1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC5=CC=CC=C54	6.7545
4582	Ki	127.0	C1CN(CCN1CCCC2=CC=CC=C2)C3=NC4=C(O3)C=CC=C4S(=O)(=O)C5=CC=CC6=CC=CC=C65	6.8962
4583	Ki	72.0	C1CC(C1)N2CCN(CC2)C3=NC4=C(O3)C=CC=C4S(=O)(=O)C5=CC=CC6=CC=CC=C65	7.1427
4584	Ki	41.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC=C4	7.3872
4585	Ki	54.0	C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=CC(=C4)F	7.2676
4607	Ki	3890.0	COC1=C(C=CC=C1OCCF)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O	5.4101
4608	Ki	3842.0	COC1=C(C=CC=C1OCCF)[C@@H](C2CCN(CC2)CCC3=CC=C(C=C3)F)O	5.4154
4609	Ki	1.995	C1CNCCC2=C1C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3	8.7001
4610	Ki	1.585	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=C4	8.8
4611	Ki	7.943	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=C4Cl	8.1
4612	Ki	1.585	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC(=CC=C4)Cl	8.8
4613	Ki	7.943	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=C(C=C4)Cl	8.1
4614	Ki	1.995	COC1=CC(=CC=C1)S(=O)(=O)N2C=CC3=CC4=C(CCNCC4)C=C32	8.7001
4615	Ki	100.0	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=N4	7.0
4616	Ki	7.943	C1CNCCC2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CSC=C4	8.1
4617	Ki	2.512	C1CNCCC2=CC3=C(C=C21)C(=CN3S(=O)(=O)C4=CC=CC=C4)Cl	8.6
4618	Ki	3.981	C1CNCCC2=CC3=C(C=C21)C(=CN3S(=O)(=O)C4=CC(=CC=C4)Cl)Cl	8.4
4619	Ki	1.259	CN1CCC2=C(CC1)C=C3C(=C2)C=CN3S(=O)(=O)C4=CC(=CC=C4)Cl	8.9
4620	Ki	1.995	CN1C=C(C2=C1C=C3CCNCCC3=C2)S(=O)(=O)C4=CC=CC=C4	8.7001
4621	Ki	39.81	C1CC2=CC3=C(CCNCC3)C=C2N(C1)S(=O)(=O)C4=CC=CC=C4	7.4
4648	Ki	6000.0	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	5.2218
4656	Ki	2000.0	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	5.699
4691	Ki	1400.0	C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42	5.8539
4696	Ki	295.9	C1CN(CCN(C1)C2=CC=C(C=C2)Cl)CCCC(=O)C3=CC=C(C=C3)F	6.5289
4817	Ki	4100.0	C1CN(C[C@H]1NC(=O)C2=CC(=C(C=C2)Cl)Cl)CC3=CC(=C(C=C3)OC4CCNCC4)Br	5.3872
5315	Ki	66.8	CN1CCN(CC1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC=C4	7.1752
5318	Ki	36.22	CN1CCN(CC1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC5=CC=CC=C54	7.4411
5321	Ki	58.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC=C4	7.2366
5324	Ki	16.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)CC4=CC=CC5=CC=CC=C54	7.7959
5328	Ki	34.0	CN1CCN(CC1)C2=CC=CC3=C2N=C(N3)C(=O)C4=CC=CC5=CC=CC=C54	7.4685
5330	Ki	13.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)C(=O)C4=CC=CC5=CC=CC=C54	7.8861
5334	Ki	49.0	C1CN(CCN1)C2=CC=CC3=C2N=C(N3)CC4=CC5=CC=CC=C5C=C4	7.3098
5359	Ki	23.0	CN(C)CCN1C=C(C2=C1N=CC=C2)S(=O)(=O)C3=CC=CC=C3	7.6383
5365	Ki	4.9	CN(C)CCN1C=C(C2=C1N=CC=C2)S(=O)(=O)C3=CC=CC(=C3)F	8.3098
5373	Ki	11.3	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=CC(=C3)F)CCN(C)C	7.9469
5376	Ki	3.9	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=C(C=C3)Br)CCN(C)C	8.4089
5379	Ki	76.0	C1=CC(=CC(=C1)S(=O)(=O)C2=CN(C3=C2N=CC=C3)CCN)F	7.1192
5382	Ki	35.0	C1=CC(=CC(=C1)Cl)S(=O)(=O)C2=CN(C3=C2N=CC=C3)CCN	7.4559
5385	Ki	46.0	CC1=CC(=CC=C1)S(=O)(=O)C2=CN(C3=C2N=CC=C3)CCN	7.3372
5386	Ki	56.0	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=CC=C3)CCN(C)C	7.2518
5387	Ki	200.0	CN(C)CCN1C=C(C2=C1C=CC=N2)S(=O)(=O)C3=CC=CC(=C3)F	6.699
5388	Ki	1.7	CC(=O)C1=NC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=CC4=CC=CC=C43)CCN(C)C	8.7696
5391	Ki	42.0	C1=CC2=C(C(=CN2CCN)S(=O)(=O)C3=C(N=C4N3C=CS4)Cl)N=C1	7.3768
5392	Ki	368.0	CN(C)CCN1C=C(C2=C1C=CC=N2)S(=O)(=O)C3=CC=CC=C3	6.4342
5393	Ki	214.0	CN(C)CCN1C=C(C2=C1C=CC(=N2)Cl)S(=O)(=O)C3=CC=CC=C3	6.6696
5531	Ki	45.0	C1CCN(C1)CCN2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=CC(=CC=C4)Cl	7.3468
5540	Ki	88.0	C1CCN(C1)CCN2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=CC=CC(=C4)F	7.0555
5654	Ki	1.0	C/C(=N\N=C(N)N)/C1=CNC2=C1C=C(C=C2)NS(=O)(=O)C3=CC=CC=C3	9.0
5655	Ki	1.0	C/C(=N\N=C(N)N)/C1=CNC2=C1C=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)OC	9.0
5726	Ki	70.0	CN1CCOC2=C1C=C(C=C2)S(=O)(=O)NC3=CC\4=C(CC/C4=N/NC5=NCCN5)C=C3	7.1549
5789	Ki	18.0	CC1=C(C2=C(C1)C=CC(=C2)NS(=O)(=O)C3=C(N=C4N3C=CS4)Cl)C5CCCN(C5)C	7.7447
5942	Ki	64.0	CC1=C(C2=CC(=C(C=C2C1)OC)NS(=O)(=O)C3=C(N=C4N3C=CS4)Cl)C	7.1938
5946	Ki	434.0	C1CCN(CC1)CCC2=C3C(=CC=C2)NC=C3S(=O)(=O)C4=CC=CC=C4	6.3625
6004	Ki	257.0	CN1CCC2=CC(=C(C3=C2C1CC4=CC5=C(C=C43)OCO5)OC)OC	6.5901
6032	Ki	18.22	C1CN(CCC1N)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC5=CC=CC=C5C=C4	7.7395
6035	Ki	3.55	C1C(CN1C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54)N	8.4498
6038	Ki	24.4	CN(C)[C@H]1CCN(C1)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.6126
6041	Ki	36.9	CC(C)CN1C2=C(C=C(C=C2)N3CC[C@H](C3)N)C(=N1)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.433
6044	Ki	0.51	CN(C)[C@@H]1CCN(C1)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54	9.2924
6047	Ki	13.7	CC(C)N1C2=C(C=C(C=C2)N3CC[C@H](C3)N)C(=N1)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.8633
6050	Ki	54.3	CN1C(=C2C=C(C=CC2=N1)N3CC[C@H](C3)N)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.2652
6053	Ki	4.27	C1CN(CCC1N)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.3696
6056	Ki	3.62	CC1=CC=C(C2=CC=CC=C12)S(=O)(=O)C3=C4C=C(C=CC4=NN3)N5CCC(CC5)N	8.4413
6059	Ki	4.52	C1CN(CCC1N)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=C4C=CC=C5Cl	8.3449
6062	Ki	8.04	C1CN(CCC1N)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC(=CC=C4)Cl	8.0947
6065	Ki	13.09	CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=C3C=C(C=CC3=NN2)N4CCC(CC4)N	7.8831
6068	Ki	48.7	CC(C)N1C(=C2C=C(C=CC2=N1)N3CC[C@H](C3)N)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.3125
6071	Ki	75.8	CC(C)CN1C(=C2C=C(C=CC2=N1)N3CC[C@H](C3)N)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.1203
6090	Ki	3.06	C1CN(C[C@H]1N)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.5143
6093	Ki	4.46	C1CN(C[C@@H]1N)C2=CC3=C(NN=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.3507
6096	Ki	21.1	CN1C2=C(C=C(C=C2)N3CC[C@H](C3)N)C(=N1)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.6757
6150	Ki	15.85	CN1CCOC2=C1C=CC(=C2)S(=O)(=O)NC3=CC4=C(CCN(CC4)CC5=CC=NN5)C=C3	7.8
6151	Ki	630.96	C1CN(CCC2=C1C=CC(=C2)NS(=O)(=O)C3=CN=C(C=C3)N4CCOCC4)CC5=CC=NN5	6.2
6152	Ki	6.31	CC1=C(C=C(C=C1)S(=O)(=O)NC2=CC3=C(CCN(CC3)CC4=CC=NN4)C=C2)Cl	8.2
6153	Ki	158.49	C1CN(CCC2=C1C=CC(=C2)NS(=O)(=O)C3=CC=C(S3)C4=CC=CC=N4)CC5=CC=NN5	6.8
6154	Ki	125.89	C1CN(CCC2=C1C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC5=CC=NN5	6.9
6155	Ki	199.53	CC(C)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC3=C(CCN(CC3)CC4=CC=NN4)C=C2	6.7
6156	Ki	91.0	C1CNCCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4	7.041
6159	Ki	13.0	C1CC(CNC1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4	7.8861
6162	Ki	4.0	C1CC(CNC1)N2C=C(C3=C2C=CC(=C3)F)S(=O)(=O)C4=CC=CC(=C4)F	8.3979
6166	Ki	113.0	C1CN(CC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4)CC5=CC=CC=C5	6.9469
6169	Ki	4.7	C1CNCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC(=C4)F	8.3279
6172	Ki	3.5	CN1CCC(C1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC(=C4)F	8.4559
6175	Ki	9.6	C1CNCC1N2C=C(C3=C2C=CC(=C3)F)S(=O)(=O)C4=CC=CC(=C4)F	8.0177
6178	Ki	72.0	C1CNCC1N2C=C(C3=C2C=C(C=C3)Cl)S(=O)(=O)C4=CC=CC(=C4)F	7.1427
6181	Ki	1.3	CN1CCC(C1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC(=CC=C4)Cl	8.8861
6184	Ki	6.0	CN1CCC(C1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.2218
6187	Ki	122.0	C1CC(CN(C1)CC2=CC=CC=C2)N3C=C(C4=CC=CC=C43)S(=O)(=O)C5=CC=CC=C5	6.9136
6190	Ki	7.3	CCN1CCCC(C1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4	8.1367
6193	Ki	16.0	CCN1CCCC(C1)N2C=C(C3=C2C=CC(=C3)OC)S(=O)(=O)C4=CC=CC(=C4)F	7.7959
6196	Ki	21.0	C1CC(CNC1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.6778
6199	Ki	5.0	C1CNCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4	8.301
6202	Ki	18.0	C1CNCC1N2C=C(C3=C2C=CC=C3F)S(=O)(=O)C4=CC=CC(=C4)F	7.7447
6205	Ki	5.0	CN1CCC(C1)N2C=C(C3=C2C=CC(=C3)F)S(=O)(=O)C4=CC=CC(=C4)F	8.301
6208	Ki	15.0	C1CNCC1N2C=C(C3=C2C=CC(=C3)Cl)S(=O)(=O)C4=CC=CC(=C4)F	7.8239
6211	Ki	3.2	C1CNCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC(=CC=C4)Cl	8.4949
6214	Ki	23.3	C1CNCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54	7.6326
6217	Ki	1.5	C1CNCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=C4N=CC=C5	8.8239
6220	Ki	10.7	COC1=CC2=C(C=C1)N(C=C2S(=O)(=O)C3=CC=CC(=C3)F)C4CCCNC4	7.9706
6223	Ki	68.0	CN1CCCC(C1)N2C=C(C3=C2C=CC(=C3)OC)S(=O)(=O)C4=CC=CC(=C4)F	7.1675
6226	Ki	7.1	CN1CCCC(C1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54	8.1487
6229	Ki	5.6	C1CC(CNC1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=C4N=CC=C5	8.2518
6232	Ki	18.0	C1CNCC1N2C=C(C3=C2C=C(C=C3)F)S(=O)(=O)C4=CC=CC(=C4)F	7.7447
6235	Ki	4.6	COC1=CC2=C(C=C1)C(=CN2C3CCNC3)S(=O)(=O)C4=CC(=CC=C4)Cl	8.3372
6238	Ki	2.8	CN1CCC(C1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC5=C4N=CC=C5	8.5528
6269	Ki	49.0	C1CN(CCC1N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC=C4)CC5=CC=CC=C5	7.3098
6272	Ki	6.0	C1CC(CNC1)N2C=C(C3=CC=CC=C32)S(=O)(=O)C4=CC=CC(=C4)F	8.2218
6366	Ki	5.7	CN1CCC2=C(C1)C3=C(N2C)C=CC(=C3)S(=O)(=O)C4=CC=CC=C4.Cl	8.2441
6370	Ki	2.1	CN1CCC2=C(C1)C3=C(N2)C=CC(=C3)S(=O)(=O)NC4=CC(=CC=C4)F.Cl	8.6778
6420	Ki	0.256	CC1=C2CCCCC2=NC3=C(C(=NN13)NC)S(=O)(=O)C4=CC=CC=C4	9.5918
6421	Ki	0.088	CNC1=NN2C3=C(CCC3)C=NC2=C1S(=O)(=O)C4=CC=CC=C4	10.0555
6423	Ki	0.112	CNC1=NN2C3=C(CCCC3)C=NC2=C1S(=O)(=O)C4=CC=CC=C4	9.9508
6425	Ki	0.202	CC1=NC2=C(C(=NN2C3=C1CCC3)NC)S(=O)(=O)C4=CC=CC=C4	9.6946
6427	Ki	0.49	CC1=NC2=C(C(=NN2C3=C1CCCC3)NC)S(=O)(=O)C4=CC=CC=C4	9.3098
6428	Ki	0.499	CNC1=NN2C=C3CCCCC3=NC2=C1S(=O)(=O)C4=CC=CC=C4	9.3019
6434	Ki	28.8	CN(C)C1=NN2C3=C(CCC3)C=NC2=C1S(=O)(=O)C4=CC=CC=C4	7.5406
6437	Ki	25.5	CC1=NC2=C(C(=NN2C3=C1CCC3)N(C)C)S(=O)(=O)C4=CC=CC=C4	7.5935
6438	Ki	869.0	CC1=NC2=C(C(=NN2C3=C1CCC3)N4CCNCC4)S(=O)(=O)C5=CC=CC=C5	6.061
6441	Ki	1764.0	CC1=NC2=C(C(=NN2C3=C1CCCC3)N4CCNCC4)S(=O)(=O)C5=CC=CC=C5	5.7535
6442	Ki	0.234	C1CN(CCN1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC=C4	9.6308
6462	Ki	0.85	C1CC2=C(N3C(=C(C=N3)S(=O)(=O)C4=CC=CC=C4)N=C2C1)N5CCNCC5	9.0706
6469	Ki	1.0	CNC(=O)CNC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	9.0
6470	Ki	0.1259	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNCCO	9.9
6471	Ki	0.2512	COCCNC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	9.6
6472	Ki	0.2512	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)O)CN	9.6
6473	Ki	0.3981	COC1=CC(=CC=C1)S(=O)(=O)C2=CC3=C(C=C2)[C@@H](CCC3)CN	9.4
6474	Ki	0.0794	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN	10.1002
6475	Ki	3.981	CS(=O)(=O)C1=CC(=CC=C1)S(=O)(=O)C2=CC3=C(C=C2)[C@@H](CCC3)CN	8.4
6476	Ki	0.3162	CC(=O)NC[C@@H]1CCCC2=C1C(=CC(=C2)S(=O)(=O)C3=CC=CC=C3)F	9.5
6477	Ki	0.7943	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CN=CS3)CN	9.1
6478	Ki	0.3162	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)CN	9.5
6479	Ki	0.631	CC(=NCC1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC=C3)N	9.2
6480	Ki	0.0631	CN(C)CC1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC=C3	10.2
6481	Ki	0.1585	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CN	9.8
6482	Ki	0.5012	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)C#N)C=N	9.3
6483	Ki	0.1585	CNC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CNC=C3	9.8
6484	Ki	1.995	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CNN=C3)CN	8.7001
6485	Ki	0.3981	CN(C)CC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	9.4
6486	Ki	0.1995	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)N	9.7001
6487	Ki	1.585	COC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	8.8
6488	Ki	1.585	CC(=O)N(C)C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	8.8
6489	Ki	1.995	CC(C)(C(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)O	8.7001
6490	Ki	0.3981	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)S(=O)(=O)C	9.4
6491	Ki	31.62	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNS(=O)(=O)C(F)(F)F	7.5
6492	Ki	3.981	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)S(=O)(=O)N	8.4
6493	Ki	1.995	CN(C)S(=O)(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	8.7001
6494	Ki	5.012	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)C4=CC=CN4	8.3
6495	Ki	0.631	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)[C@H]4CCCN4	9.2
6496	Ki	0.1	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN4CC(C4)O	10.0
6497	Ki	0.0501	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CNC4=CC=CC=C43)CN	10.3002
6498	Ki	5.012	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC(=CC4=C3N=CN4)F)CN	8.3
6499	Ki	0.1	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNCC(=O)N	10.0
6500	Ki	1.259	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)CC(=O)N	8.9
6501	Ki	0.631	C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CNC(=O)N	9.2
6502	Ki	158.49	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)CC3=CC=CC=C3)CN	6.8
6503	Ki	0.3162	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CNC=C3)CN	9.5
6504	Ki	2.512	CN(C)C(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	8.6
6505	Ki	39.81	CN(C[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F)C(=O)N	7.4
6506	Ki	0.7943	COCC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	9.1
6507	Ki	31.62	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN4CCCS4(=O)=O	7.5
6508	Ki	6.31	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN4CCNC(=O)C4	8.2
6509	Ki	0.1585	C1C[C@H](C2=C(C1)C=C(C=C2F)S(=O)(=O)C3=CC=CC(=C3)F)CNCCO	9.8
6510	Ki	0.1995	C1C[C@H](C2=C(C1)C=C(C=C2F)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)N	9.7001
6511	Ki	0.2512	C1C[C@H](C2=C(C1)C=C(C=C2F)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)CO	9.6
6512	Ki	1.259	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNCCCS(=O)(=O)O	8.9
6513	Ki	0.1585	C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CN=C(N)N	9.8
6514	Ki	0.3162	CNCC1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC=C3	9.5
6515	Ki	25.12	C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC=C3)CNC4=NC=CC=N4	7.6
6516	Ki	7.943	CN1C=CC(=C1)S(=O)(=O)C2=CC3=C(C=C2)[C@@H](CCC3)CN	8.1
6517	Ki	0.631	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CC(=O)N=C(N)N	9.2
6518	Ki	0.3981	CNC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	9.4
6519	Ki	0.1259	CC(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	9.9
6520	Ki	0.1	C1C[C@H](C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC(=O)CO	10.0
6521	Ki	3.981	CC(C)(C)C(=O)NC[C@@H]1CCCC2=C1C=CC(=C2)S(=O)(=O)C3=CC=CC(=C3)F	8.4
