	Smiles	Standard Type	Standard Value	pChEMBL Value
96	O=S(=O)(c1ccc(F)cc1F)n1cc(Cl)c2cc(CN3CCNCC3)ccc21	Ki	5.57	8.25
97	CC(C)c1ccc(S(=O)(=O)n2ccc3cc(CN4CCNCC4)ccc32)cc1	Ki	14.9	7.83
101	COc1ccc(S(=O)(=O)n2cc(CCN(C)C)c3cccc(OC)c32)cc1	Ki	93.0	7.03
102	CCCN1CC=C(c2cn(S(=O)(=O)c3ccc4cccnc4c3)c3ccc(OC)cc23)CC1	Ki	247.0	6.61
103	O=S(=O)(c1cnc2ccccc2c1)n1cc(C2=CCNCC2)c2ccc(Cl)cc21	Ki	37.0	7.43
104	COc1ccc2c(c1)c(C1=CCNCC1)cn2S(=O)(=O)c1ccc2cccnc2c1	Ki	2.0	8.7
105	COc1ccc2c(c1)c(C1=CCNCC1)cn2S(=O)(=O)c1cccc2ncccc12	Ki	4.0	8.4
106	O=S(=O)(c1ccc2ncccc2c1)n1cc(C2=CCNCC2)c2ccccc21	Ki	20.0	7.7
107	CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccccc1	Ki	2.1	8.68
109	FC(F)(F)c1cccc(Sc2ccc3c(c2)N2CCNCC2C3)c1	Ki	300.0	6.52
110	COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccccc1	Ki	2.3	8.64
112	O=S(=O)(Nc1ccc2nccc(N3CCNCC3)c2c1)c1ccc(I)cc1	Ki	1.585	8.8
113	Cc1nc2c(S(=O)(=O)c3ccccc3)c(N3CCNCC3)nn2c2c1CCCC2	Ki	1764.0	5.75
114	O=S(=O)(c1cccc(F)c1)c1cn(C2CCNC2)c2cc(F)ccc12	Ki	18.0	7.75
118	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1	Ki	2516.0	5.6
120	CCN(CC)CCNC(=O)C1CN(S(=O)(=O)c2ccc(OC)c3ccccc23)c2ccccc21	Ki	19.95	7.7
121	CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3ccccc32)CC1	Ki	25.12	7.6
122	CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3ccc(-c4ccccc4)cc3)c3ccccc32)CC1	Ki	125.89	6.9
123	CCN(CC)CCc1cn(S(=O)(=O)c2ccccc2)c2ccc(OC)cc12	Ki	6.2	8.21
125	Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2cccc(NC3CCNCC3)c12	Ki	2.8	8.55
126	Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2cc(NC3CCCNC3)ccc12	Ki	57.0	7.24
127	Cl.O=C(Nc1ccc2[nH]nc(S(=O)(=O)c3cccc4ccccc34)c2c1)C1CCNCC1	Ki	1.1	8.96
128	NCCn1cc(S(=O)(=O)c2ccccc2)c2cccnc21	Ki	5.5	8.26
129	CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2cccnc21	Ki	23.0	7.64
130	CN(C)CCn1cc(S(=O)(=O)c2cc(Cl)cc(Cl)c2)c2cccnc21	Ki	4.3	8.37
131	NCCn1cc(S(=O)(=O)c2cccc3ccccc23)c2cccnc21	Ki	1.6	8.8
132	CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1N=CC[C@H]1c1ccccc1	Ki	9.3	8.03
133	Cc1ccc2c(c1)c1c(n2/C=C\c2ccccc2)CCN(C)C1	Ki	0.6166	9.21
134	CCN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1CC(CC)C=N1	Ki	18.5	7.73
135	NCCn1cc(S(=O)(=O)c2cccc(Cl)c2)c2ncccc21	Ki	35.0	7.46
136	CC(Oc1cccc(Cl)c1)c1nc(N)nc(N2CCN(C)CC2)n1	Ki	118.0	6.93
137	COc1cc(S(=O)(=O)c2ccc(F)c(F)c2)cc2c3c(oc12)CCNC3	Ki	0.32	9.49
138	N#Cc1cc(S(=O)(=O)c2cc(F)cc(F)c2)cc2c3c(oc12)CCNC3	Ki	50.0	7.3
139	CC(O)c1cc(S(=O)(=O)c2ccccc2)cc2c3c(oc12)CCNC3	Ki	5.7	8.24
140	COc1ccc2c(c1)c(-c1nc(N)sc1C)cn2S(=O)(=O)c1ccccc1	Ki	105.0	6.98
141	COc1ccc2c(c1)c(-c1[nH]c(NC(C)=O)nc1C)cn2S(=O)(=O)c1cccc(F)c1	Ki	14.0	7.85
142	CCC(=O)Nc1nc(C)c(-c2ccc3ccn(S(=O)(=O)c4ccccc4)c3c2)[nH]1	Ki	17.0	7.77
143	COc1ccc2c(c1)c(-c1c(C)nc(N)n1CC(F)F)cn2S(=O)(=O)c1ccccc1	Ki	157.0	6.8
144	CN(C)CCc1cn(S(=O)(=O)c2ccc(N)cc2)c2ccccc12	Ki	0.8	9.1
145	O=c1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)nn1-c1cccc(Cl)c1Cl	Ki	113.0	6.95
148	CCc1nc(NC(C)=O)[nH]c1-c1cn(S(=O)(=O)c2ccccc2)c2ccccc12	Ki	263.0	6.58
151	c1ccc(-c2ccc(CNCCc3c[nH]c4ccccc34)s2)cc1	Ki	152.0	6.82
152	Cn1cc(CCNCc2ccc(-c3ccccc3)o2)c2ccccc21	Ki	303.0	6.52
153	COc1ccc2[nH]cc(CCNCc3ccc(-c4cccc(O)c4)o3)c2c1	Ki	55.0	7.26
154	CN(CCc1c[nH]c2ccccc12)Cc1ccc(-c2ccccc2)o1	Ki	61.0	7.21
155	CCCN(CCc1c[nH]c2ccccc12)Cc1ccc(-c2ccccc2)o1	Ki	334.0	6.48
156	COc1ccc2[nH]cc(CCN(C)Cc3ccc(-c4ccc(O)cc4)o3)c2c1	Ki	199.0	6.7
157	Oc1ccc(-c2ccc(CNCCc3c[nH]c4ccc(F)cc34)o2)cc1	Ki	2.0	8.7
158	COc1ccc2occ(CCNCc3ccc(-c4ccc(O)cc4)o3)c2c1	Ki	1696.0	5.77
159	Oc1c(CN2CCCC2)cc(CSc2ccccc2)c2cccnc12	Ki	894.0	6.05
160	Cc1nc(N2CCCN(C)CC2)c2c3c(sc2n1)CCC3	Ki	198.0	6.7
161	CCc1cc2c(N3CCN(C)CC3)nc(C)nc2s1	Ki	316.0	6.5
162	COc1ccc(NS(=O)(=O)c2cc(I)ccc2C)cc1N1CCN(C)CC1	Ki	1.0	9.0
163	O=S(=O)(c1cccc2ccccc12)n1ccc2ccc(C3(O)CCN4CCCC4C3)cc21	Ki	4.7	8.33
166	CN1CCc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2C1=O	Ki	9.6	8.02
167	NCCc1c[nH]c2ccc(O)cc12	Ki	84.0	7.08
168	O=S(=O)(c1cccc2ncccc12)N1CCC[C@@H]1CCN1CCN(c2cccc3sccc23)CC1	Ki	13.0	7.89
169	O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCN(c2noc3ccccc23)CC1	Ki	497.0	6.3
170	O=S(=O)(c1cccc2ncccc12)N1CC[C@@H]1CCN1CCN(c2cccc3sccc23)CC1	Ki	130.0	6.89
171	O=S(=O)(c1cccc2ncccc12)N1CCC[C@H]1CCN1CCN(c2cccc3sccc23)CC1	Ki	82.0	7.09
172	COc1ccc2[nH]c(C)c(CCN)c2c1	Ki	80.0	7.1
173	O=S(=O)(c1cccc2cnccc12)N1CCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1	Ki	40.0	7.4
174	COc1ccc2[nH]cc(CCN)c2c1	Ki	88.0	7.06
175	Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2c(NC3CCCNC3)cccc12	Ki	66.0	7.18
177	Cc1ccc(-c2n[nH]c3c2CCNCC3)cc1	Ki	109.0	6.96
178	COc1ccccc1N1CCN(CCOCCOc2cc(C)cc(C)c2C)CC1.Cl.Cl	Ki	1540.0	5.81
179	Cc1ccc(COc2ccc(Br)cc2CNC(C)c2ccccc2)cc1	Ki	5100.0	5.29
180	COc1ccc(CNCCC(c2ccco2)c2ccccc2OC)cc1	Ki	2400.0	5.62
181	c1ccc2c(OCCCCCN3CCCCC3)cccc2c1	Ki	2539.0	5.59
182	COc1cccc2c(CCN(C)C)cn(S(=O)(=O)c3ccc4ccccc4c3)c12	Ki	5.0	8.3
184	CN(CCCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1)Cc1ccccc1	Ki	10.0	8.0
185	COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccc(N)cc1	Ki	2.0	8.7
186	O=S(=O)(c1ccccc1)n1ccc2c(N3CCNCC3)cccc21	Ki	0.3	9.52
187	COc1ccc2[nH]cc(C3CC(=O)N(CCCCN4CCC(c5c[nH]c6ccc(F)cc56)CC4)C3=O)c2c1	Ki	85.0	7.07
188	CN1CCN(c2cn(S(=O)(=O)c3ccccc3Br)c3ccccc23)CC1	Ki	15.2	7.82
189	COc1ccc2[nH]cc(C3CCN(CCCCN4C(=O)CC(c5c[nH]c6ccc(F)cc56)C4=O)CC3)c2c1	Ki	71.0	7.15
190	Cc1ccc(S(=O)(=O)c2n[nH]c3ccc(N4CCC(N)CC4)cc23)c2ccccc12	Ki	3.62	8.44
191	O=[N+]([O-])c1ccccc1N1CCN(CCCCCCN2c3cccc4cccc(c34)S2(=O)=O)CC1	Ki	494.0	6.31
192	O=C1c2ccccc2S(=O)(=O)N1CCCCCCN1CCN(c2ncccn2)CC1	Ki	104.0	6.98
193	O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2cccnc12	Ki	598.0	6.22
194	O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2ncccc2c1	Ki	484.0	6.32
195	NCCc1cn(S(=O)(=O)c2c(Cl)nc3sccn23)c2ccccc12	Ki	2.0	8.7
196	CN(C)CCC1=CCc2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc21	Ki	10.0	8.0
197	Cn1cncc1-c1c[nH]c2ccc(C(N)=O)cc12	Ki	6910.0	5.16
198	COc1cc2c(cc1NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)CCN(C)CC2	Ki	10.0	8.0
199	CN1CCc2cc(Cl)c(NS(=O)(=O)c3ccc(-c4ccc(Cl)cc4)cc3)cc2CC1	Ki	50.12	7.3
200	COc1cccc(-c2ccc(CNCCc3c[nH]c4ccc(OC)cc34)o2)c1	Ki	76.0	7.12
201	COc1ccc2[nH]cc(CCNCc3ccc(-c4cn[nH]c4)o3)c2c1	Ki	121.0	6.92
202	COc1ccc2[nH]cc(CCNCc3ccc(-c4cnc5ccccc5c4)o3)c2c1	Ki	101.0	7.0
203	COc1ccc2[nH]cc(CCNCc3ccc(-c4ccc(O)cc4)o3)c2c1	Ki	3.0	8.52
204	Oc1ccc(-c2ccc(CNCCc3c[nH]c4ncccc34)o2)cc1	Ki	531.0	6.28
205	CN1CCN(c2oc(-c3ccccc3Cl)nc2S(=O)(=O)c2ccccc2)CC1	Ki	61.0	7.21
206	CN1CCN(c2ccnc(SCc3ccccc3Cl)n2)CC1	Ki	8883.0	5.05
207	CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1N=CCC1c1ccco1	Ki	8.2	8.09
208	COc1cccc(N2CCN(C(=O)C3CN(S(=O)(=O)c4ccc(OC)c5ccccc45)c4ccccc43)CC2)c1	Ki	63.1	7.2
209	CNCC1CCCc2cc(S(=O)(=O)c3ccccc3)ccc21	Ki	0.3162	9.5
210	NC[C@@H]1CCCc2cc(S(=O)(=O)c3ccccc3)ccc21	Ki	0.1585	9.8
211	NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(O)c3)ccc21	Ki	0.2512	9.6
212	CN(C)CC(=O)NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21	Ki	0.3981	9.4
213	O=S(=O)(c1cccc(F)c1)c1ccc2c(c1)CCC[C@H]2CNS(=O)(=O)C(F)(F)F	Ki	31.62	7.5
214	NC(=O)NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)cc(F)c21	Ki	0.1995	9.7
215	O=S(=O)(Nc1ccc(N2CCNCC2)cc1)c1ccccc1	Ki	85.0	7.07
216	O=S(=O)(c1cccc(C(F)(F)F)c1)c1cn(C2CCCNC2)c2ncccc12	Ki	4.571	8.34
217	O=S(=O)(c1cccc(Br)c1)c1cn(C2CCCNC2)c2ncccc12	Ki	3.802	8.42
218	CCN1CCCC(n2cc(S(=O)(=O)c3cc(Cl)cc(Cl)c3)c3cccnc32)C1	Ki	13.49	7.87
