	Smiles	Standard Type	Standard Value	pChEMBL Value
2537	CC(Nc1ccc2c(c1)CCNCC2)c1ccccc1Cl	Ki	14.0	7.85
2539	O=S(=O)(c1ccccc1)c1ccc(C2CCNCC2)c2ccccc12	Ki	3.8	8.42
2540	O=C(c1ccccc1)n1cc(C2=CCNCC2)c2cc(F)ccc21	Ki	99.0	7.0
2541	O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCCCN1CCN(c2nsc3ccccc23)CC1	Ki	486.0	6.31
2542	CCN1CCC(c2ccc3c(c2)N(S(=O)(=O)c2ccccc2)CC3)CC1	Ki	23.0	7.64
2544	COc1ccc2c(c1)c1c(n2S(=O)(=O)c2ccc(I)cc2)CCCC1CN(C)C	Ki	2.4	8.62
2545	Cl.O=S(=O)(c1ccc2cccnc2c1)N1CCC(CN2CCN(c3ccc(Cl)cc3)CC2)CC1	Ki	17150.0	4.77
2546	Cl.O=S(=O)(c1cnc2ccccc2c1)N1CCC(CN2CCN(c3ccc(Cl)cc3)CC2)CC1	Ki	10570.0	4.98
2547	Cl.O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2)CC1)c1cccc2ccccc12	Ki	127.0	6.9
2548	Cl.O=S(=O)(NCCCN1CCN(c2cccc(Cl)c2)CC1)c1cnc2ccccc2c1	Ki	5043.0	5.3
2549	O=C1CCc2ccc(OCCCCNCCc3cn(S(=O)(=O)c4ccccc4)c4ccccc34)cc2N1	Ki	52.0	7.28
2550	O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1ccc2ccccc2c1	Ki	5.0	8.3
2551	O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1cc2ccccc2s1	Ki	33.0	7.48
2552	Cc1c(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)sc2ccc(F)cc12	Ki	54.0	7.27
2553	O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1ccc2ccccc2c1	Ki	6.2	8.21
2555	O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc(OC(F)(F)F)cc1	Ki	35.0	7.46
2556	O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cccc2scnc12	Ki	70.0	7.16
2557	O=C1c2ccccc2S(=O)(=O)N1CCCCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1	Ki	52.0	7.28
2560	NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3Cc2ccccc2)CC1	Ki	24.0	7.62
2561	O=C1CCc2ccc(OCCCCN3CCC(c4cn(S(=O)(=O)c5ccccc5)c5ccccc45)CC3)cc2N1	Ki	140.0	6.85
2562	CN(C)C1CCc2c(c3ccccc3n2S(=O)(=O)c2cccc(C(F)(F)F)c2)C1	Ki	1.92	8.72
2563	CSc1ccc2c(c1)c1c(n2S(=O)(=O)c2cccc(Cl)c2)CCC(N(C)C)C1	Ki	2.68	8.57
2564	CN(C)C1CCc2c(c3cc(F)ccc3n2S(=O)(=O)c2cccc(Cl)c2)C1	Ki	5.01	8.3
2565	CN(C)C1CCc2c(c3cc(F)ccc3n2S(=O)(=O)c2ccccc2)C1	Ki	15.7	7.8
2566	CN(C)C1CCc2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2C1	Ki	1.0	9.0
2569	CCN1CCN(c2ccc3c(c2)N(S(=O)(=O)c2ccccc2)CC3)CC1	Ki	60.0	7.22
2570	Cl.Cn1c(=O)c2c(ncn2CCCCCN2CCN(c3cccc(Cl)c3)CC2)n(C)c1=O	Ki	1195.0	5.92
2571	Cl.Cn1c(=O)c2c(ncn2CCCCN2CCN(c3cccc(Cl)c3Cl)CC2)n(C)c1=O	Ki	68.0	7.17
2572	COc1ccccc1N1CCN(CCCCCC(=O)NCc2ccccc2-c2ccccc2Cl)CC1	Ki	1321.0	5.88
2573	Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)c1	Ki	100.0	7.0
2574	O=S(=O)(NCCCN1CCN(c2nsc3ccccc23)CC1)c1ccc(OC(F)(F)F)cc1	Ki	56.0	7.25
2575	O=S(=O)(NCCCN1CCN(c2nsc3ccccc23)CC1)c1cccs1	Ki	140.0	6.85
2579	O=S(=O)(c1ccnc2ccccc12)N1CCCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1	Ki	1259.0	5.9
2580	O=S(=O)(c1cccc2ncccc12)N1CCCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1	Ki	949.0	6.02
2581	O=S(=O)(c1cncc2ccccc12)N1CCC[C@@H]1CCN1CCN(c2cccc3c2OCCO3)CC1	Ki	1263.0	5.9
2582	O=c1[nH]c2c(N3CCN(CC[C@@H]4CCCN4S(=O)(=O)c4cccc5ncccc45)CC3)cccc2o1	Ki	3912.0	5.41
2584	C/N=C1\NC(=O)/C(=C/c2c[nH]c3ccc(Br)cc23)N1	Ki	860.0	6.07
2585	CNC[C@@H]1CCCc2cc(S(=O)(=O)c3cc[nH]c3)ccc21	Ki	0.1585	9.8
2586	CN1C(=N)N(C)/C(=C/c2c[nH]c3ccccc23)C1=O	Ki	8768.0	5.06
2587	CN1CCN(Cc2ccc3c(ccn3S(=O)(=O)c3cccc(Cl)c3Cl)c2)CC1	Ki	18.0	7.75
2589	O=S(=O)(Nc1ccc2c(c1)C(C1CCNCC1)=CCO2)c1ccccc1	Ki	1.0	9.0
2590	O=S(=O)(c1ccccc1)c1csc2c(N3CCNCC3)cccc12	Ki	0.5	9.3
2591	O=c1n(C2=CCNCC2)c2ccccc2n1S(=O)(=O)c1ccc2ccccc2c1	Ki	5.7	8.24
2592	O=S(=O)(c1cc2cccc(N3CCNCC3)c2[nH]1)c1cccc(Cl)c1Cl	Ki	0.2	9.7
2593	O=S(=O)(c1cccc(Cl)c1)n1ccc2c(N3CCNCC3)c(Cl)ccc21	Ki	0.3	9.52
2594	O=S(=O)(c1ccccc1)n1cc(C2=CCNCC2)c2cc(F)ccc21	Ki	2.4	8.62
2595	CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3ccc(OC(F)(F)F)cc3)c3ccccc32)CC1	Ki	19.95	7.7
2596	Cc1nc2c(S(=O)(=O)c3ccccc3)c(N(C)C)nn2c2c1CCC2	Ki	25.5	7.59
2597	Cc1nc2c(S(=O)(=O)c3ccccc3)c(N3CCNCC3)nn2c2c1CCC2	Ki	869.0	6.06
2598	CN1CCOc2ccc(S(=O)(=O)Nc3ccc4c(c3)/C(=N/NC(=N)N)CC4)cc21.Cl	Ki	26.0	7.58
2600	Cc1cccc(S(=O)(=O)c2cn(CCN)c3cccnc23)c1	Ki	46.0	7.34
2604	O=S(=O)(c1cccc(Cl)c1)n1c(-c2ccccc2)nc2c(N3CCNCC3)nccc21	Ki	17.0	7.77
2608	O=S(=O)(c1ccc(Cl)cc1)c1cn(C2CCCNC2)c2ncccc12	Ki	7.586	8.12
2611	CN1CCN(Cc2cccc3c2ccn3S(=O)(=O)c2cccc(Cl)c2)CC1	Ki	13.17	7.88
2612	CNCCC1=CC(Cc2ccccc2)c2ccccc21	Ki	3.0	8.52
2614	O=S(=O)(c1cccc2cccnc12)N1CCOc2c(N3CCNCC3)cc(Cl)cc21	Ki	0.631	9.2
2615	O=S(=O)(c1ccccc1F)N1CCOc2c(N3CCNCC3)cc(F)cc21	Ki	0.631	9.2
2616	Cc1cc(N2CCNCC2)c2c(c1)N(S(=O)(=O)c1ccccc1C#N)CCO2	Ki	1.995	8.7
2617	CC1(C)CN(S(=O)(=O)c2ccccc2F)c2cccc(N3CCNCC3)c2O1	Ki	0.3162	9.5
2618	O=S(=O)(c1cncc2ccccc12)N1CC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1	Ki	348.0	6.46
2619	O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1	Ki	60.0	7.22
2620	O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCN(c2cccc3c2OCCO3)CC1	Ki	1483.0	5.83
2621	O=c1[nH]c2c(N3CCN(CC[C@@H]4CCCN4S(=O)(=O)c4cncc5ccccc45)CC3)cccc2o1	Ki	2990.0	5.52
2622	CN(C)CCc1cn(Cc2ccc(C(F)(F)F)cc2)c2ccccc12	Ki	445.0	6.35
2623	CN(C)CCc1cn(S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12	Ki	94.0	7.03
2625	CCCCCCCCS(=O)(=O)n1cc(CCN(C)C)c2ccccc21	Ki	440.0	6.36
2627	O=[N+]([O-])c1ccc(N2CCNCC2)cc1NCCOc1ccc(Cl)cc1	Ki	290.0	6.54
2629	CN1CCN(c2ccc([N+](=O)[O-])c(NCc3ccco3)c2)CC1	Ki	61.0	7.21
2630	CC(=O)N(Cc1ccccc1)c1ccc(N2CCN(C)CC2)cc1N	Ki	164.0	6.79
2631	CC(C)N1CCCC(n2cc(S(=O)(=O)C3=C(Cl)NC4SC=CN34)c3cccnc32)C1	Ki	1.7	8.77
2633	Cc1ccc2sc(S(=O)(=O)N[C@@H]3CCN(CCCc4noc5ccccc45)C3)cc2c1	Ki	15.14	7.82
2634	O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2ccccc2c1	Ki	3.89	8.41
2635	O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccc(F)cc2s1	Ki	8.913	8.05
2636	CCNc1ccc(C2(C)C(=O)Nc3cc(Cl)cc(Cl)c3C2=O)cc1	Ki	28.3	7.55
2637	COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2c1ccccc1)OCO4	Ki	627.0	6.2
2638	Cc1cc(C)n(-c2cc(N3CCN(C)CC3)ccc2[N+](=O)[O-])n1	Ki	250.0	6.6
2639	CN1CCN(c2ccc([N+](=O)[O-])c(NCc3ccc(F)cc3)c2)CC1	Ki	172.0	6.76
2640	CN1CCN(c2ccc([N+](=O)[O-])c(NCCOc3ccc(C(C)(C)C)cc3)c2)CC1	Ki	80.0	7.1
2641	Cc1nc2c(N3CCNCC3)nccc2n1Cc1ccccc1	Ki	374.0	6.43
2642	Cc1nc2c(N3CCNCC3)ccnc2n1Cc1ccccc1Cl	Ki	829.0	6.08
2643	CN1CCC(n2cc(S(=O)(=O)c3cccc4cccnc34)c3ccccc32)C1	Ki	2.8	8.55
2644	O=S(=O)(c1ccccc1)N1CCc2ccc(C3CCN(C4CCC4)CC3)cc21	Ki	527.0	6.28
2645	O=S(=O)(c1ccc(Cl)cc1)n1c2c(c3ccccc31)CCNCC2	Ki	18.0	7.75
2646	O=S(=O)(c1cccc(Cl)c1)n1c2c(c3ccccc31)CCNCC2	Ki	41.0	7.39
2647	O=S(=O)(c1ccc(F)cc1)n1c2c(c3ccccc31)CCNCC2	Ki	23.0	7.64
2648	O=S(=O)(c1cccc(F)c1)n1c2c(c3ccccc31)CCNCC2	Ki	33.0	7.48
2650	CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3cccs3)c3ccccc32)CC1	Ki	316.23	6.5
2651	CN(C)CCc1ccn(S(=O)(=O)c2ccccc2)c1	Ki	15.0	7.82
2652	CN1CCN(c2nc(N)nc(CSc3ccccc3Cl)n2)CC1	Ki	126.0	6.9
2655	O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCOc4ccc(F)cc4)CC3)cccc21	Ki	5.4	8.27
2656	CC(C)Oc1ccccc1OCCCCN1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1	Ki	11.0	7.96
2657	COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN(CCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	Ki	266.0	6.58
2658	CN1CCCC(n2cc(S(=O)(=O)c3ccc(Cl)cc3)c3cccnc32)C1	Ki	11.5	7.94
2660	CN1CCC(n2cc(S(=O)(=O)C3=C(Cl)NC4SC=CN34)c3cccnc32)C1	Ki	0.8	9.1
2661	O=S(=O)(C1=C(Cl)NC2SC=CN12)c1cn(C2CCCNC2)c2ncccc12	Ki	0.7	9.15
2662	O=C(CCN1CCCCC1)Nc1ccc2cnn(S(=O)(=O)c3cccc4ccccc34)c2c1	Ki	15.0	7.82
2663	Cn1c2c(c3cc(S(=O)(=O)c4ccc(C(F)(F)F)cc4)ccc31)C1CCC(C2)N1	Ki	46.0	7.34
2667	Cc1c(OS(=O)(=O)c2ccc3ccccc3c2)cccc1C1CCNCC1	Ki	2.7	8.57
2668	Cc1c(C2CCNCC2)ccnc1OCc1cccc(Cl)c1	Ki	8.1	8.09
2669	Cc1c(OCc2ccc(F)c(F)c2)cccc1N1CCNCC1	Ki	9.3	8.03
2671	CC1=C(CCN(C)C)c2cc(NS(=O)(=O)c3ccc4ccccc4c3)ccc2/C1=C\c1ccccc1	Ki	216.0	6.67
2672	CC1=C(CCN(C)C)c2cc(NS(=O)(=O)c3csc4ccccc34)ccc2C1	Ki	53.0	7.28
2673	COc1ccc(S(=O)(=O)N2CCc3ccc(I)cc32)cc1N1CCNCC1	Ki	0.3162	9.5
2674	C#CCOc1c(OC)cc2c3c1-c1cc(NC(=O)CCC)ccc1CC3N(C)CC2	Ki	354.0	6.45
2675	CNc1cccc2c1ccn2S(=O)(=O)c1ccc(N)cc1	Ki	21.0	7.68
2678	COc1ccc(S(=O)(=O)c2n[nH]c3cccc(N4CCNCC4)c23)cc1	Ki	88.0	7.06
2679	CN1CCN(c2ccc3[nH]nc(S(=O)(=O)c4ccccc4F)c3c2)CC1	Ki	5.5	8.26
2680	CN1CCN(c2ccc3[nH]nc(S(=O)(=O)c4cccc(F)c4)c3c2)CC1	Ki	1.7	8.77
2681	Cc1ccc(S(=O)(=O)c2n[nH]c3cc(N4CCNCC4)ccc23)cc1	Ki	27.0	7.57
2682	Cn1nc(S(=O)(=O)c2ccccc2)c2cc(N3CCNCC3)ccc21	Ki	3.2	8.49
2683	Cc1ccc(C)c(S(=O)(=O)c2nnn3c2nc(N)c2sccc23)c1	Ki	46.0	7.34
2686	COc1ccc2c(=O)c3cccc(CN4CCN(c5ccccc5OC)CC4)c3oc2c1.Cl	Ki	9363.0	5.03
2688	COc1ccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1N1CCN(C)CC1	Ki	1.995	8.7
2690	COc1cccc(-c2noc(-c3[nH]c4ccccc4c3CCN)n2)c1	Ki	1.259	8.9
2691	COc1ccc2c(ccn2S(=O)(=O)c2ccc3c(c2)c2c(n3C)CC3CCC2N3)c1	Ki	18.0	7.75
2692	CN1C2CCC1c1c(n(C)c3ccc(S(=O)(=O)c4ccccc4)cc13)C2	Ki	7.8	8.11
2693	Cc1cc(S(=O)(=O)c2csc3ccccc23)cc2c3c(n(C)c12)CC1CCC3N1	Ki	0.29	9.54
2694	COc1cc(S(=O)(=O)c2ccc3[nH]ccc3c2)cc2c3c(n(C)c12)CC1CCC3N1	Ki	0.31	9.51
2695	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(N4CCCC4)c31)C1CCC(C2)N1	Ki	52.0	7.28
2697	C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3c(Br)cccc23)N1C	Ki	7300.0	5.14
2702	CN1CCC(C2=CCc3ccc(NS(=O)(=O)c4c(Cl)nc5sccn45)cc32)C1	Ki	3.0	8.52
2704	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3cc([N+](=O)[O-])ccc32)cc1	Ki	29.0	7.54
2705	O=S(=O)(c1ccccc1)n1cc(C2CCNCC2)c2ccccc21	Ki	12.0	7.92
2707	COc1ccc2c(c1)c(CN1CCN(C)CC1)c(Cl)n2S(=O)(=O)c1ccc(C(C)C)cc1	Ki	29.6	7.53
2708	COc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccccc1	Ki	4.3	8.37
2709	CC(C)CCNc1nc2c(S(=O)(=O)c3ccc(Br)cc3)nnn2c2ccsc12	Ki	15.9	7.8
2710	O=S(=O)(c1ccccc1)c1nnn2c1nc(NC1CCCCC1)c1sccc12	Ki	3.2	8.49
2722	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1	Ki	5055.0	5.3
2724	O=S(=O)(Cl)c1c(Cl)nc2n1CCS2	Ki	8.4	8.08
2725	O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1cnc2ccccn12	Ki	140.0	6.85
2726	O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc(F)c(Cl)c1	Ki	1.6	8.8
2727	Cc1c(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)sc2ccc(Cl)cc12	Ki	1.8	8.74
2728	COc1ccc(S(=O)(=O)n2cc(CN3CCN(C)CC3)c3cc(OC)ccc32)cc1	Ki	18.3	7.74
2729	Cc1cccc(S(=O)(=O)c2n[nH]c3ccc(N4CCN(C)CC4)cc23)c1	Ki	0.9	9.05
2730	CCn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCN(C)CC3)ccc21	Ki	1.7	8.77
2731	O=C1Nc2ccccc2C12CCN(CCN1CCN(c3ccc(Cl)c(Cl)c3)CC1)C2	Ki	1131.0	5.95
2732	O=C1Nc2ccccc2C12CCN(CCN1CCC(Oc3ccc(Cl)cc3)CC1)C2	Ki	1693.0	5.77
2734	NCCc1cn(S(=O)(=O)c2cccc(Cl)c2)c2ccccc12	Ki	6.0	8.22
2735	NCCc1cn(S(=O)(=O)c2ccccc2Br)c2ccccc12	Ki	11.0	7.96
2737	O=C(Nc1ccc2cnn(S(=O)(=O)c3cccc4ccccc34)c2c1)[C@@H]1CCCNC1	Ki	4.0	8.4
2738	Cl.Cn1c(=O)c2c(ncn2CCCCN2CCN(c3ccccc3)CC2)n(C)c1=O	Ki	14210.0	4.85
2739	COc1ccccc1N1CCN(CCCn2cnc3c2c(=O)n(C)c(=O)n3C)CC1.Cl	Ki	12100.0	4.92
2740	Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCCS5(=O)=O)c4)CC3)cccc2n1	Ki	1584.89	5.8
2742	Cn1c2c(c3cc(S(=O)(=O)c4cncc(Cl)c4)ccc31)C1CCC(C2)N1	Ki	44.0	7.36
2743	Cn1c2c(c3cc(S(=O)(=O)c4cncc(F)c4)ccc31)C1CCC(C2)N1	Ki	139.0	6.86
2745	Cn1c2c(c3cc(S(=O)(=O)c4ccc5occc5c4)ccc31)C1CCC(C2)N1	Ki	20.0	7.7
2746	CC(C)n1ccc2cc(S(=O)(=O)c3ccc4c(c3)c3c(n4C)CC4CCC3N4)ccc21	Ki	4.4	8.36
2747	Cn1c2c(c3cc(S(=O)(=O)n4cc(F)c5ccccc54)ccc31)C1CCC(C2)N1	Ki	2.7	8.57
2748	NCCc1cn(S(=O)(=O)c2ccc(Cl)c(Cl)c2)c2ccccc12	Ki	30.0	7.52
2749	NCCc1cn(S(=O)(=O)c2ccc(I)cc2)c2ccccc12	Ki	14.0	7.85
2750	Cn1c2c(c3cc(S(=O)(=O)c4cc(F)cc(F)c4)ccc31)C1CCC(C2)N1	Ki	8.5	8.07
2752	COCCOc1cc(S(=O)(=O)c2ccccc2)cc2c3c(n(C)c12)CC1CCC3N1	Ki	7.1	8.15
2754	Cn1c2c(c3cc(S(=O)(=O)c4cccc(NC5CCCC5)c4)ccc31)C1CCC(C2)N1	Ki	2.0	8.7
2756	O=S(=O)(c1ccc(Cl)s1)c1cn(C2CCNC2)c2ncccc12	Ki	1.0	9.0
2758	CN1CCN(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1	Ki	15.9	7.8
2759	CCCn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCNCC3)ccc21	Ki	2.2	8.66
2760	CC(C)n1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCN(C)CC3)ccc21	Ki	1.8	8.74
2762	CCN/C(=N\S(=O)(=O)c1c(Cl)cccc1Cl)N1CC(CC)C=N1	Ki	196.7	6.71
2763	COc1ccc2c(c1)c1c(n2S(=O)(=O)c2ccc(N)cc2)CCCC1CN(C)C	Ki	2.0	8.7
2764	c1ccc2c(OCCCCCN3CCCCCC3)cccc2c1	Ki	1837.0	5.74
2765	O=C1c2ccccc2S(=O)(=O)N1CCCCCCN1CCN(c2cccc(Cl)c2)CC1	Ki	372.0	6.43
2766	COc1ccc2c(c1)c(CCN1CCCCC1)cn2S(=O)(=O)c1ccccc1	Ki	350.0	6.46
2767	O=C1Nc2ccc(F)cc2C1CCCCN1CCN(c2ccccc2)CC1	Ki	1800.0	5.75
2768	O=C1Nc2ccccc2C1CCCCN1CCN(c2ccc(Cl)cc2)CC1	Ki	580.0	6.24
2769	COc1ccc2c(c1)c(CN1CCCN(C)CC1)cn2S(=O)(=O)c1ccc(F)cc1.Cl.Cl	Ki	7.79	8.11
2773	CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	Ki	400.0	6.4
2775	CSc1nn2c3c(c(C)nc2c1S(=O)(=O)c1cccc(Cl)c1)CNCC3	Ki	11.1	7.96
2776	Cl.c1ccc2c(C[C@H]3CCCN3)c[nH]c2c1	Ki	60.0	7.22
2779	Cn1c2c(c3cc(S(=O)(=O)c4cccc5ccccc45)ccc31)C1CCC(C2)N1	Ki	1.4	8.85
2780	Cn1c2c(c3cc(S(=O)(=O)c4ccc(Cl)cc4)ccc31)C1CCC(C2)N1	Ki	37.0	7.43
2781	Cn1c2c(c3cc(S(=O)(=O)n4cc(Cl)c5ccccc54)ccc31)C1CCC(C2)N1	Ki	4.1	8.39
2783	Cn1c2c(c3cc(S(=O)(=O)c4cccc(OCc5ccncc5)c4)ccc31)C1CCC(C2)N1	Ki	11.0	7.96
2784	Cc1cn(S(=O)(=O)c2ccc3oc4c(c3c2)CNCC4)c2ccccc12	Ki	0.42	9.38
2785	O=S(=O)(c1cccc(C(F)(F)F)c1)c1cc(Cl)c2oc3c(c2c1)CNCC3	Ki	0.48	9.32
2787	O=S(=O)(c1ccc(CO)cc1)c1cc(Cl)c2oc3c(c2c1)CNCC3	Ki	12.0	7.92
2789	[C-]#[N+]c1ccc2ccn(S(=O)(=O)c3cc(OC)c4c(c3)c3c(n4C)CC4CCC3N4)c2c1	Ki	0.58	9.24
2791	CSc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CNCC3	Ki	7.7	8.11
2793	O=S(=O)(c1ccc(F)cc1)c1ccc2oc3c(c2c1)CNCC3	Ki	43.0	7.37
2794	CN(C)C(=O)C1NCCc2oc3c(Cl)cc(S(=O)(=O)c4ccccc4)cc3c21	Ki	252.0	6.6
2797	Cn1c2c(c3cc(S(=O)(=O)c4ccc5c(ccn5CCO)c4)ccc31)C1CCC(C2)N1	Ki	228.0	6.64
2798	Cn1c2c(c3cc(S(=O)(=O)c4cccc5ccncc45)ccc31)C1CCC(C2)N1	Ki	13.0	7.89
2801	COc1cc2c(c(OC)c1)C(=O)C(C)(c1ccccc1)C(=O)N2	Ki	728.0	6.14
2804	COc1ccc(C2(C)C(=O)Nc3cc(Cl)cc(Cl)c3C2=O)cc1	Ki	147.0	6.83
2805	CN1CCN(c2nc(N)nc(Cc3ccccc3Cl)n2)CC1	Ki	56.0	7.25
2810	CN(C)CC1=CC2=CN(S(=O)(=O)c3ccccc3)C3=CC=CC(O1)C23	Ki	5.0	8.3
2811	CCCC(=O)Nc1ccc2c(c1)-c1c(OCC3CC3)c(OC)cc3c1C(C2)N(C)CC3	Ki	322.0	6.49
2812	N#CC1=Cc2cn(S(=O)(=O)c3cccc4ccccc34)c3cccc(c23)O1	Ki	755.0	6.12
2813	O=C1Nc2ccccc2C12CCN(CCN1CCC(c3ccc(F)cc3)CC1)C2	Ki	5285.0	5.28
2814	Cl.N=C(N)N/N=C1\CCc2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc21	Ki	1.2	8.92
2815	CC1(C)C/C(=N\NC(=N)N)c2cc(NS(=O)(=O)c3c(Cl)nc4sccn34)ccc21.Cl	Ki	5.2	8.28
2816	Cc1ccc(Cc2nc(N)nc(N3CCN(C)CC3)n2)cc1	Ki	64.0	7.19
2817	CN1CCN2c3ccccc3Cc3ccccc3C2C1	Ki	55.0	7.26
2819	O=S(=O)(c1ccccc1)n1cc(C2=CCCNC2)c2ccccc21	Ki	4.6	8.34
2820	O=S(=O)(c1ccccc1Cl)n1cc(C2=CCCNC2)c2ccccc21	Ki	13.0	7.89
2821	COc1ccc(S(=O)(=O)n2cc(C3CCCNC3)c3ccccc32)cc1	Ki	10.0	8.0
2822	O=S(=O)(c1ccc(F)c(F)c1)n1cc(C2CCCNC2)c2ccccc21	Ki	7.0	8.15
2823	O=S(=O)(c1cccs1)n1cc(C2CCCNC2)c2ccccc21	Ki	9.8	8.01
2824	CN1CCC[C@H]1Cc1cn(S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12	Ki	7.0	8.15
2825	CN1CCC(c2cn(S(=O)(=O)c3ccc(I)cc3)c3ccccc23)C1	Ki	1.0	9.0
2826	O=S(=O)(c1ccccc1Br)n1cc(C2CCN(Cc3ccccc3)C2)c2ccccc21	Ki	14.0	7.85
2827	Cc1ccc(S(=O)(=O)n2cc(C3CCN(Cc4ccccc4)C3)c3ccccc32)cc1	Ki	8.0	8.1
2828	O=S(=O)(c1ccccc1)n1c2c(c3ccccc31)CCNC2	Ki	252.7	6.6
2829	COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1	Ki	1429.0	5.84
2830	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3cc(OCc4ccccc4)ccc32)cc1	Ki	50.0	7.3
2831	O=S(=O)(c1ccccc1)n1cc(C2CCNCC2)c2cc(F)ccc21	Ki	20.0	7.7
2833	O=S(=O)(c1ccccc1)c1cc(-c2cn[nH]c2)c2oc3c(c2c1)CNCC3	Ki	28.0	7.55
2834	CC1NCCc2oc3c(Cl)cc(S(=O)(=O)c4ccccc4)cc3c21	Ki	0.35	9.46
2835	CC1CNCc2c1oc1c(Cl)cc(S(=O)(=O)c3ccccc3)cc21	Ki	110.0	6.96
2836	Clc1cc(Sc2ccccc2)cc2c3c(oc12)CCNC3	Ki	12.0	7.92
2837	O=S(=O)(c1cc(Cl)c2oc3c(c2c1)CNCC3)c1ccccc1Cl	Ki	0.77	9.11
2838	CN1CCN(c2nc(N)nc(Cc3cccc(Cl)c3)n2)CC1	Ki	28.0	7.55
2842	CN(C)CCc1cn(C(=O)c2ccccc2)c2ccc(O)cc12	Ki	54.0	7.27
2843	Cn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cccc(N3CCNCC3)c21	Ki	2.512	8.6
2844	O=S(=O)(c1cccc(Cl)c1)n1ccc2c(N3CCNCC3)cccc21	Ki	0.2512	9.6
2845	O=S(=O)(c1ccccc1)c1cn(C2CCCNC2)c2ncccc12	Ki	4.898	8.31
2847	Cl.O=S(=O)(c1cccc(F)c1)c1n[nH]c2ccc(NC3CCNCC3)cc12	Ki	6.7	8.17
2848	Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(NC3CCCNC3)cc12	Ki	1.7	8.77
2849	Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2cc(NCC3CCNCC3)ccc12	Ki	44.0	7.36
2851	CN(C)CCn1ccc2cc(NS(=O)(=O)c3ccc4ccccc4c3)ccc21	Ki	57.7	7.24
2852	CNc1cc(NC)c2ccn(S(=O)(=O)c3ccc(N)cc3)c2c1	Ki	1.9	8.72
