	Standard Type	Standard Value	Smiles
535	Ki	430.0	C1CN(CCC1C(C2=CC=C(C=C2)F)O)CCC3=CC=CC=C3I
537	Ki	1770.0	CC1=C(C2=C(N1)C=CC=C2NC(=O)C3=CC=C(C=C3)F)CCN(C)C
538	Ki	26.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)OC
544	Ki	19.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)O)S(=O)(=O)C3=CC=CC=C3
546	Ki	490.0	CN1CCN(CC1)CCC2=CN(C3=C2C=C(C=C3)OC)S(=O)(=O)C4=CC=CC=C4
547	Ki	44.0	COC1=CC2=C(C=C1)N(C=C2CCN3CCCC3)S(=O)(=O)C4=CC=CC=C4
548	Ki	12.0	CC1=C(C2=C(N1S(=O)(=O)C3=CC=CC=C3)C=CC(=C2)OC)CCN(C)C
549	Ki	8.3	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CS3
550	Ki	2.4	C1=CC=C(C=C1)S(=O)(=O)N2C=CC3=C(C=CC=C32)CCN
568	Ki	260.0	CN(C)CCC1=C2C=C(NC2=CC=C1)C(=O)C3=CC=CC=C3
569	Ki	63.0	CN(C)CCC1CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3
570	Ki	40.0	COC1=CC2=C(C=C1)N(C=C2CCN)S(=O)(=O)C3=CC=CC=C3
571	Ki	45.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=C2C=CC(=C3)OC)CCN(C)C
572	Ki	350.0	COC1=CC2=C(C=C1)N(C=C2CCN3CCCCC3)S(=O)(=O)C4=CC=CC=C4
573	Ki	1700.0	COC1=CC2=C(C=C1)N(C=C2CCN3CCOCC3)S(=O)(=O)C4=CC=CC=C4
574	Ki	320.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OCC3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4
575	Ki	54.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)O)C(=O)C3=CC=CC=C3
576	Ki	7.9	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC(=CC=C3)Cl
605	Ki	9.799999999999999	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC4=CC=CC=C4C=C3
608	Ki	620.0	CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C
609	Ki	130.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)OC)N(C)C
610	Ki	17.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)Cl
616	Ki	33.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)C#N)S(=O)(=O)C3=CC=CC=C3
617	Ki	370.0	CC(C)(C)OC(=O)N1C=C(C2=C1C=CC(=C2)O)CCN(C)C
618	Ki	11.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC=C3Cl
619	Ki	3.0	CN(C)CCC1=C2C=C(N(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3)C(=O)C4=CC=CC=C4
620	Ki	7.2	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)O)N(C)C
634	Ki	180.0	C1=CC=C2C(=C1)C(=CN2)CCN
636	Ki	185.0	CCCC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C
641	Ki	130.0	CC(C)N1C=C(C2=C1C=CC(=C2)OC)CCN(C)C
642	Ki	240.0	CCN1C=C(C2=C1C=CC(=C2)OC)CCN(C)C
643	Ki	510.0	CN1C=C(C2=C1C=CC(=C2)OC)CCN(C)C
671	Ki	1030.0	CN(C)CCC1=C2CCCCN2C3=C1C=C(C=C3)OC
672	Ki	200.0	CCCN1C=C(C2=C1C=CC(=C2)OC)CCN(C)C
677	Ki	88.0	COC1=CC2=C(C=C1)NC=C2CCN
702	Ki	300.0	CC1=C(C2=CC=CC=C2N1)CCN(C)C
763	Ki	6309.57	CC1CCN(CC1)CC[C@H]2CCCN2S(=O)(=O)C3=CC=CC(=C3)O
764	Ki	3162.28	CC1CCN(CC1)CC[C@H]2CCCN2S(=O)(=O)C3=CC(=CC=C3)Br
766	Ki	524.81	C1CC2=C3C(=CC=C2)NC(=O)C3(C1)CCCCN4CCC(=CC4)C5=CC=CC=C5
791	Ki	3.162	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=C(C(=CC(=C3F)Br)F)Br)OC
792	Ki	10.0	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3)OC
793	Ki	2.512	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)I)OC
798	Ki	1.9949999999999999	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC(=CC(=C3)Cl)Cl)OC
799	Ki	1.0	CC1=C(C=C(C=C1)I)S(=O)(=O)NC2=CC(=C(C=C2)OC)N3CCN(CC3)C
800	Ki	0.7943	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC(=CC=C3)I)OC
801	Ki	63.1	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC(=C3)C#N)OC
802	Ki	1.259	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4.Cl
803	Ki	1.259	CC1=C(C2=C(S1)C=CC(=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C
804	Ki	79.43	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-])OC
811	Ki	794.3299999999999	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CN(C=N3)C)OC
812	Ki	0.7943	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC4=C(C=C3)C(=CC=C4)Cl)OC
821	Ki	9.4	CC1=CC=C(C=C1)S(=O)(=O)N2C3=C(C(CCC3)CN(C)C)C4=C2C=CC(=C4)OC
822	Ki	2.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)N)C=CC(=C3)OC
823	Ki	5.1000000000000005	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC5=CC=CC=C5C=C4)C=CC(=C3)OC
824	Ki	29.0	COC1=CC2=C(C=C1)N(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)N
825	Ki	49.0	C1=CC=C2C(=C1)C3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)N.Cl
826	Ki	64.0	CN(C)CC1CCCC2=C1C3=CC=CC=C3N2CC4=CC=CC=C4
828	Ki	5.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)Cl)C=CC(=C3)OC
829	Ki	0.3	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=C(C=CC(=C4)OC)OC)C=CC(=C3)OC
830	Ki	2.4	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)I)C=CC(=C3)OC
831	Ki	47.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)OC)C=CC(=C3)OC
832	Ki	6000.0	COC1=CC2=C(C=C1)N(C3=C2CCCC3)C(=O)C4=CC=C(C=C4)N
833	Ki	300.0	COC1=CC2=C(C=C1)N(C3=C2C(CCC3)CN)CC4=CC=CC=C4
839	Ki	6000.0	COC1=CC2=C(C=C1)N(C3=C2CCCC3)CC4=CC=C(C=C4)N
840	Ki	14.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=CC5=CC=CC=C54)C=CC(=C3)OC
841	Ki	7.6	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=CC5=C4N=CC=C5)C=CC(=C3)OC
842	Ki	200.0	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)CC4=CC=CC=C4)C=CC(=C3)OC
844	Ki	1450.0	CC1=NCCC2=C1NC3=CC=CC=C23
845	Ki	1930.0	CC1=NCCC2=C1NC3=C2C=C(C=C3)OC
846	Ki	1480.0	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
887	Ki	90.0	CCN(CC)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)NC(=O)C
888	Ki	34.0	CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=C2C=CC(=C3)OC)CCN(C)C
889	Ki	230.0	CCN(CC)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)NC(=O)C
