	Standard Type	Standard Value	Smiles	pChEMBL Value
1448	Ki	2.0	Cl.O=S(=O)(c1ccc2c(c1)O[C@H]1CNCC[C@@H]21)c1cccc(Cl)c1Cl	8.7
1449	Ki	1.4	CN1CCC(n2cc(S(=O)(=O)c3cccc(F)c3)c3cccnc32)C1	8.85
1450	Ki	5.6	CN1CCC(n2cc(S(=O)(=O)c3ccccc3F)c3cccnc32)C1	8.25
1451	Ki	61.66	O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccc(Cl)cc2s1	7.21
1452	Ki	27.54	O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cccc(Cl)c1	7.56
1453	Ki	68.0	Cc1cccc(S(=O)(=O)n2c3c(c4ccccc42)CCNCC3)c1	7.17
1454	Ki	2.9	Cn1c2c(c3cc(S(=O)(=O)c4cnc5[nH]ccc5c4)ccc31)C1CCC(C2)N1	8.54
1455	Ki	70.0	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(OC(F)(F)F)c31)C1CCC(C2)N1	7.16
1456	Ki	4.5	Cn1c2c(c3cc(S(=O)(=O)c4cccc(C(F)(F)F)c4)ccc31)C1CCC(C2)N1	8.35
1457	Ki	0.74	Cn1c2c(c3cc(S(=O)(=O)c4c[nH]c5ccccc45)ccc31)C1CCC(C2)N1	9.13
1458	Ki	1.8	Cn1c2c(c3cc(S(=O)(=O)c4cccc(F)c4)cc(O)c31)C1CCC(C2)N1	8.74
1459	Ki	14.0	Cn1c2c(c3cc(S(=O)(=O)c4ccccc4)cc(OCc4ccccc4)c31)C1CCC(C2)N1	7.85
1460	Ki	135.0	CCCCS(=O)(=O)n1cc(CCN(C)C)c2ccccc21	6.87
1461	Ki	0.3981	Cc1cc(N2CCNCC2)c2c(c1)N(S(=O)(=O)c1ccccc1F)CCO2	9.4
1462	Ki	3.981	O=S(=O)(c1ccccc1)N1CCOc2c(N3CCCNCC3)cc(Cl)cc21	8.4
1463	Ki	276.0	CC1=C(CCN(C)C)c2cc(NS(=O)(=O)c3cccc4ccccc34)ccc2C1	6.56
1465	Ki	2.512	COc1ccc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1N1CCNCC1	8.6
1471	Ki	2.0	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3ccccc32)cc1	8.7
1472	Ki	3.0	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3ccc(Cl)cc32)cc1	8.52
1473	Ki	14.0	O=S(=O)(c1ccc(Cl)cc1)n1cc(C2=CCNCC2)c2cc(F)ccc21	7.85
1475	Ki	18.0	COc1ccc2c(c1)c(CCN(C)C)cn2C(=O)c1ccccc1	7.75
1476	Ki	77.0	CCCCS(=O)(=O)n1cc(C2=CCNCC2)c2ccccc21	7.11
1477	Ki	12.6	CNc1cc(NS(=O)(=O)c2ccc(N)cc2)cc(NC)n1	7.9
1478	Ki	4.3	O=S(=O)(Nc1ccc2[nH]cc(CCN3CCCC3)c2c1)c1ccc2ccccc2c1	8.37
1479	Ki	1.995	O=S(=O)(c1ccc(Cl)cc1)n1ccc2c(N3CCNCC3)cccc21	8.7
1480	Ki	0.3162	O=S(=O)(c1cccc(Cl)c1)n1cc(Cl)c2c(N3CCNCC3)cccc21	9.5
1481	Ki	0.3162	O=S(=O)(c1cccc(Cl)c1)n1ccc2c(N3CCNCC3)ccc(Cl)c21	9.5
1482	Ki	5.6	O=S(=O)(c1ccc(C2CCOC2)cc1)c1cc(Cl)c2oc3c(c2c1)CNCC3	8.25
1483	Ki	1258.93	Nc1ccc(S(=O)(=O)Nc2ccc3cc[nH]c3c2)cc1	5.9
1484	Ki	50.12	O=S(=O)(Nc1ccc2ccn(CCN3CCCC3)c2c1)c1c(Cl)nc2sccn12	7.3
1485	Ki	27.0	NCCn1cc(S(=O)(=O)c2ccccc2)c2cc(F)ccc21	7.57
1486	Ki	1.995	COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Br)c2Cl)cc1N1CCNCC1	8.7
1487	Ki	0.7943	COc1ccc(S(=O)(=O)N2CCCc3c(Cl)cc(Cl)cc32)cc1N1CCNCC1	9.1
1488	Ki	7.9	CN(C)CCCc1cccc2c1ccn2S(=O)(=O)c1ccccc1	8.1
1489	Ki	54.3	Cn1nc2ccc(N3CC[C@@H](N)C3)cc2c1S(=O)(=O)c1cccc2ccccc12	7.26
1490	Ki	17.0	COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccc(Cl)cc1	7.77
1491	Ki	2.399	Cc1ccc(CCn2c3c(c4cc(C)ccc42)CN(C)CC3)cc1	8.62
1492	Ki	306.0	COc1cc2c(cc1O)C[C@H]1c3c(cc(OC)c(OC)c3-2)CCN1C	6.51
1494	Ki	3162.28	Cc1ccc2c(N3CCN(CCc4cccc(N5CCOC5=O)c4)CC3)cccc2n1	5.5
1495	Ki	7.2	Cc1ccc(S(=O)(=O)n2cc3c4c(cccc42)[C@H](O)[C@@H](N)C3)cc1	8.14
1496	Ki	1.0	Cc1sc2ccc(Cl)cc2c1S(=O)(=O)Nc1ccc2nccc(N3CCNCC3)c2c1	9.0
1497	Ki	1.5	CN(C)CCc1cccc2c1ccn2S(=O)(=O)c1ccccc1	8.82
1498	Ki	3.36	CN1CCN(Cc2ccc3c(c2)c(Cl)cn3S(=O)(=O)c2ccc(F)cc2F)CC1	8.47
1499	Ki	7.77	O=S(=O)(c1ccccc1Br)n1ccc2cc(CN3CCNCC3)ccc21	8.11
1500	Ki	5.52	CCN1CCN(Cc2ccc3c(ccn3S(=O)(=O)c3cccc(Cl)c3Cl)c2)CC1	8.26
1501	Ki	5.012	COc1ccc(S(=O)(=O)Nc2cc(Cl)c(Cl)cc2Cl)cc1N1CCNCC1	8.3
1504	Ki	19.0	CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4cccc(Cl)c4)cc23)CC1	7.72
1505	Ki	42.0	O=S(=O)(c1ccccc1)N1Cc2cccc(C3CCN(C4CCC4)CC3)c2C1	7.38
1507	Ki	66.0	CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4ccc(F)cc4)cc23)CC1	7.18
1508	Ki	46.0	CN1CCC(c2n[nH]c3ccc(S(=O)(=O)c4ccc(C(F)(F)F)cc4)cc23)CC1	7.34
1509	Ki	110.0	COc1cccc(Sc2ccc3c(c2)N2CCNCC2C3)c1	6.96
1510	Ki	50.0	Cc1cccc(Sc2ccc3c(c2)N2CCNCC2C3)c1	7.3
1511	Ki	1.259	COc1ccc(S(=O)(=O)Nc2cccc(Br)c2)cc1N1CCNCC1	8.9
1512	Ki	0.6	Cl.O=S(=O)(c1ccc2ccccc2c1)c1n[nH]c2ccc(NC3CCNCC3)cc12	9.22
1515	Ki	65.0	CCN(CC)CCC(=O)Nc1ccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c2c1.Cl	7.19
1516	Ki	12.0	Cl.O=C(CCN1CCCCC1)Nc1ccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c2c1	7.92
1517	Ki	9.8	Cl.O=C(Nc1cccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c12)C1CCCNC1	8.01
1518	Ki	1.0	O=S(=O)(c1ccccc1F)n1cc(C2=CCNCC2)c2ccccc21	9.0
1519	Ki	841.0	COc1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1N1CCN(C)CC1	6.08
1520	Ki	2410.0	COc1ccc(NC(=O)N2CCN(c3ccccc3OC)CC2)cc1N1CCN(C)CC1	5.62
1521	Ki	12.0	CCN1CCN(c2nc3c(S(=O)(=O)c4cccc5ccccc45)cccc3o2)CC1	7.92
1522	Ki	2.0	COc1ccc(-c2cc(N3CCN(C)CC3)nc3c2ccn3S(=O)(=O)CC(C)C)cc1	8.7
1523	Ki	57.0	O=C(O)C(=O)O.O=C(c1ccccc1)c1ccc(N2CCNCC2)c2ccccc12	7.24
1524	Ki	290.0	NCc1cccc(NS(=O)(=O)c2ccccc2)c1	6.54
1526	Ki	99.0	CN1CC=C(c2cn(C(=O)c3ccccc3)c3ccccc23)CC1	7.0
1527	Ki	54.0	CC(C)(C)OC(=O)N1CC=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1	7.27
1528	Ki	0.4	O=S(=O)(c1ccccc1Cl)n1cc(C2=CCNCC2)c2ccccc21	9.4
1529	Ki	1.0	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3cc4c(cc32)OCO4)cc1	9.0
1531	Ki	10.0	CN1CC=C(c2cn(S(=O)(=O)c3ccccc3F)c3ccccc23)CC1	8.0
1532	Ki	1.995	CN1CCCC(n2cc(S(=O)(=O)c3c(Cl)nc4sccn34)c3cccnc32)C1	8.7
1533	Ki	554.0	COc1ccc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)cc1N1CCN(CCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	6.26
1534	Ki	2.4	Cc1c(C2CCNCC2)ccnc1OC(c1cccc(Cl)c1)C(F)(F)F	8.62
1535	Ki	239.0	Cc1c(C2CCNCC2)ccnc1OCc1ccc(F)cc1F	6.62
1536	Ki	1.0	CN1CC=C(c2cn(S(=O)(=O)c3cccc4ccccc34)c3ccc(F)cc23)CC1	9.0
1537	Ki	1761.0	CC(C)c1ccccc1OCCN1CCC(NC(=O)c2ccc3ccccc3n2)C1	5.75
1538	Ki	156.0	O=S(=O)(NC1CCN(CCOc2cccc3c2CCCC3)C1)c1cc(F)ccc1F	6.81
1539	Ki	185.0	CSc1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc(Cl)c2)C1	6.73
1540	Ki	202.0	O=S(=O)(N[C@@H]1CCN(CCOc2ccccc2-c2ccccc2)C1)c1ccc(Cl)s1	6.7
1541	Ki	5.0	COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1	8.3
1542	Ki	1.995	Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1	8.7
1543	Ki	2.8	O=S(=O)(c1ccccc1)c1nnn2c1nc(NCc1ccco1)c1sccc12	8.55
1544	Ki	91.0	O=S(=O)(c1ccccc1)c1cn(C2CCNCC2)c2ccccc12	7.04
1545	Ki	13.0	O=S(=O)(c1ccccc1)c1cn(C2CCCNC2)c2ccccc12	7.89
1546	Ki	7.3	CCN1CCCC(n2cc(S(=O)(=O)c3ccccc3)c3ccccc32)C1	8.14
1547	Ki	3.5	CN1CCC(n2cc(S(=O)(=O)c3cccc(F)c3)c3ccccc32)C1	8.46
1549	Ki	120.0	c1ccc2c(N3CCNCC3)cccc2c1	6.92
1550	Ki	54.0	Brc1ccc(N2CCNCC2)c2ccccc12.O=C(O)C(=O)O	7.27
1551	Ki	132.0	COc1cc2c3c(c1OCC1CC1)-c1cc(N)ccc1CC3N(C)CC2	6.88
1552	Ki	218.0	C#CCOc1c(OC)cc2c3c1-c1cc(NS(C)(=O)=O)ccc1CC3N(C)CC2	6.66
1553	Ki	3.981	COc1ccc(S(=O)(=O)Nc2cc(Br)cc(Cl)c2Br)cc1N1CCNCC1	8.4
1554	Ki	71.0	O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	7.15
1555	Ki	2300.0	Clc1cccc(N2CCNCC2)c1	5.64
1556	Ki	31.62	COc1ccc(S(=O)(=O)Nc2cc(F)cc(F)c2Cl)cc1N1CCNCC1	7.5
1557	Ki	20.0	COc1ccc2[nH]c(-c3ccccc3)c(CCN(C)C)c2c1	7.7
1558	Ki	136.0	COc1ccc2c(c1)c1c(n2Cc2ccccc2)CCCC1CN(C)C	6.87
1559	Ki	794.33	COc1ccc(NS(=O)(=O)c2cn(C)cn2)cc1N1CCN(C)CC1	6.1
1560	Ki	180.0	CC[C@@](C)(CO)CNC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	6.75
1561	Ki	0.7943	COc1ccc(NS(=O)(=O)c2cccc(I)c2)cc1N1CCN(C)CC1	9.1
1562	Ki	10.0	CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	8.0
1563	Ki	4000.0	O=S(=O)(c1ccccc1)c1ccccc1N1CCNCC1	5.4
1564	Ki	3028.0	O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCCCN1CCN(c2ccc(Cl)cc2)CC1	5.52
1565	Ki	23.0	COc1ccccc1Sc1ccc2c(c1)N1CCNCC1C2	7.64
1566	Ki	14.0	O=S(=O)(c1cccc(Cl)c1)n1cc(C2=CCCNC2)c2ccccc21	7.85
1567	Ki	44.7	O=S(=O)(c1cccc(C(F)(F)F)c1)n1cc(C2=CCCNC2)c2ccccc21	7.35
1568	Ki	16.0	COc1ccc(S(=O)(=O)n2cc(C3=CCCNC3)c3ccccc32)cc1	7.8
1569	Ki	10.0	O=S(=O)(c1ccc(C(F)(F)F)cc1)n1cc(C2CCCNC2)c2ccccc21	8.0
1570	Ki	34.0	O=S(=O)(c1ccc(I)cc1)n1cc(C[C@@H]2CCCN2)c2ccccc21	7.47
1571	Ki	4.0	CN1CCC[C@@H]1Cc1cn(S(=O)(=O)c2ccc(Br)s2)c2ccccc12	8.4
1572	Ki	19.3	COc1ccc(S(=O)(=O)n2cc(C[C@@H]3CCCN3C)c3ccccc32)cc1	7.71
1573	Ki	2.0	CN1CCC(c2cn(S(=O)(=O)c3ccc(F)cc3)c3ccccc23)C1	8.7
1574	Ki	2.0	CN1CC=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1	8.7
1575	Ki	13.0	CC(C)N1CCN(c2nc3c(S(=O)(=O)c4cccc5ccccc45)cccc3o2)CC1	7.89
1576	Ki	1.0	Cc1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4C)c3c2)cc1	9.0
1577	Ki	1.0	COc1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4C)c3c2)cc1	9.0
1578	Ki	5.0	CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3Br)cc12	8.3
1579	Ki	7.0	CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)cc12	8.15
1580	Ki	3.0	O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccccc1Cl	8.52
1581	Ki	4.0	O=S(=O)(c1cccc2ccccc12)n1cc(C2=CCNCC2)c2cc(F)ccc21	8.4
1582	Ki	31.0	Nc1ccc(S(=O)(=O)n2cc(C3=CCNCC3)c3ccc([N+](=O)[O-])cc32)cc1	7.51
1584	Ki	56.0	CC(=O)c1ccc2c(n1)c(S(=O)(=O)c1ccccc1)cn2CCN(C)C	7.25
1585	Ki	1.995	COc1cccc(S(=O)(=O)n2ccc3cc4c(cc32)CCNCC4)c1	8.7
1586	Ki	1.995	Cn1cc(S(=O)(=O)c2ccccc2)c2cc3c(cc21)CCNCC3	8.7
1587	Ki	130.0	COc1ccc2c(c1)c(CCN(C)C)cn2C(C)C	6.89
1593	Ki	45.6	Cc1c(O[C@@H](C)c2ccccc2)cccc1N1CCNCC1	7.34
1594	Ki	2.1	CCN(CC)CCC(=O)Nc1ccc2cnn(S(=O)(=O)c3cccc4ccccc34)c2c1	8.68
1595	Ki	0.19	COc1cc(S(=O)(=O)c2ccccc2F)cc2c3c(oc12)CCNC3	9.72
1596	Ki	20100.0	CN(C)CCN1C(=O)c2ccccc2/C=C\c2ccccc21	4.7
1597	Ki	1030.0	COc1ccc2c(c1)c(CCN(C)C)c1n2CCCC1	5.99
1598	Ki	64.7	CN(C)CCn1ccc2c(NS(=O)(=O)c3cccc4ccccc34)cccc21	7.19
1599	Ki	15.1	Cc1c(S(=O)(=O)Nc2ccc3[nH]cc(CCN4CCOCC4)c3c2)sc2ccc(Cl)cc12	7.82
1600	Ki	132.0	O=S(=O)(Nc1ccc2[nH]cc(CCN3CCOCC3)c2c1)c1ccc2ccccc2c1	6.88
1601	Ki	117.0	O=S(=O)(Nc1ccc2[nH]cc(CCN3CCOCC3)c2c1)c1ccc2ccccc2n1	6.93
1602	Ki	125.8	O=C1OCc2ccccc2N1C1CCN(S(=O)(=O)c2csc3ccccc23)CC1	6.9
1603	Ki	94.2	CN(C)CCn1ccc2cc(NS(=O)(=O)c3cccc4ccccc34)ccc21	7.03
1604	Ki	57.7	Cc1c(S(=O)(=O)Nc2cccc3c2cc(C)n3CCN(C)C)sc2ccc(Cl)cc12	7.24
1605	Ki	50.12	CN1CCc2cc(Br)c(NS(=O)(=O)c3ccc(-c4ccc(Cl)cc4)cc3)cc2CC1	7.3
1606	Ki	0.5012	COc1ccc(S(=O)(=O)N2CCc3c(Cl)ccc(Cl)c3C2)cc1N1CCNCC1	9.3
1607	Ki	14.3	CNc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCN(C)C3	7.84
1609	Ki	7.7	CSc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CN(C)CC3	8.11
1610	Ki	0.202	CNc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CCC3	9.7
1611	Ki	125.89	NCCCC1(CCCN)CCc2cccc(O)c2C1	6.9
1613	Ki	53.7	Nc1ccc(S(=O)(=O)c2cc(Br)nc(Br)c2)cc1	7.27
1614	Ki	41.7	O=S(=O)(c1cccc(Cl)c1)n1c2c(c3ccccc31)CCNC2	7.38
1615	Ki	116.0	Nc1ccc(S(=O)(=O)n2c3c(c4ccccc42)CCNC3)cc1	6.94
1616	Ki	2.0	O=S(=O)(c1ccccc1)n1cc(C2=CCNCC2)c2ccccc21	8.7
1617	Ki	1.995	COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2Cl)cc1N1CCNCC1	8.7
1618	Ki	2863.0	COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1	5.54
1619	Ki	1950.0	CCN(CCCCN1CCC2CCCCC2C1)S(=O)(=O)c1cccc2cccnc12	5.71
1620	Ki	2.0	O=S(=O)(c1cccc(Cl)c1)n1cc(C2CCCNC2)c2ccccc21	8.7
1621	Ki	74.5	CN(C)CCn1ccc2ccc(NS(=O)(=O)CCc3cccc4ccccc34)cc21	7.13
1622	Ki	0.2	CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4c(Cl)cccc4c3)cc12	9.7
1623	Ki	51.7	O=C1OCc2ccccc2N1C1CCN(S(=O)(=O)c2cccc3ccccc23)CC1	7.29
1624	Ki	151.9	O=C1OCc2ccccc2N1C1CCN(S(=O)(=O)c2cccc3cccnc23)CC1	6.82
1625	Ki	15.5	CNCCn1cc(S(=O)(=O)c2ccccc2)c2ccccc21	7.81
1626	Ki	224.4	CCN(CC)C(=O)C(=O)c1c[nH]c2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc12	6.65
1628	Ki	20.0	CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2ccccc21	7.7
1629	Ki	11.0	COc1cccc2c1c(CCN(C)C)cn2S(=O)(=O)c1ccccc1	7.96
1630	Ki	1.0	O=S(=O)(c1ccccc1Cl)n1ccc2c(N3CCNCC3)c(Cl)ccc21	9.0
1631	Ki	18.6	O=S(=O)(Nc1ccc2ccn(CCN3CCCC3)c2c1)c1cccc2ccccc12	7.73
1632	Ki	1.259	COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1	8.9
1633	Ki	0.8	CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3cccc4ccccc34)cc12	9.1
1634	Ki	5089.0	COc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1N1CCN(C)CC1	5.29
1635	Ki	18.62	CNc1nn2c(N)c(Cl)c(C)nc2c1S(=O)(=O)c1cccc(Cl)c1	7.73
1636	Ki	22.39	CNc1nn2c(N(C)CCN(C)C)cc(C)nc2c1S(=O)(=O)c1ccccc1	7.65
1637	Ki	0.8913	CNc1nn2c(C)c(CN(C)C)c(C)nc2c1S(=O)(=O)c1cccc(F)c1	9.05
1638	Ki	23.0	COc1ccc2c(S(=O)(=O)c3ccccc3)cn(CCN(C)C)c2c1	7.64
1644	Ki	9.6	CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4cccc5c(Cl)cccc45)cc23)CC1	8.02
1645	Ki	2634.0	O=C(CCOCCN1CCN(c2cccnc2-c2ccc(F)cc2)CC1)NCc1ccc(C(F)(F)F)cc1	5.58
1646	Ki	640.0	COCOc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccc(OC)cc3)CC2)cc1	6.19
1647	Ki	480.0	C[C@H](NC(=O)CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)c1ccccc1	6.32
1648	Ki	100.0	NCCc1c[nH]c2ccc(O)cc12	7.0
1649	Ki	4470.0	Nc1ccc(CC2C=Cc3ccccc32)cc1	5.35
1650	Ki	2530.0	Nc1ccc(Cc2c[nH]c3ccccc23)cc1	5.6
1651	Ki	27.7	O=S(=O)(c1ccccc1)n1cc(C[C@@H]2CCCN2)c2ccccc21	7.56
1652	Ki	20.0	O=S(=O)(c1ccc(Br)s1)n1cc(C[C@@H]2CCCN2)c2ccccc21	7.7
1653	Ki	8.0	CN1CCC[C@@H]1Cc1cn(S(=O)(=O)c2ccccc2)c2ccccc12	8.1
1654	Ki	877.0	CC1(c2ccc(Cl)cc2)C(=O)Nc2cc(Cl)cc(Cl)c2C1=O	6.06
1655	Ki	12.0	CN1CCC[C@H]1Cc1cn(S(=O)(=O)c2ccc(Cl)c(Cl)c2)c2ccccc12	7.92
1656	Ki	11.0	Cl.O=S(=O)(c1cc(F)cc(Cl)c1)c1ccc2c(c1)O[C@H]1CNCC[C@@H]21	7.96
1657	Ki	65.0	CC(C)Oc1cc(F)cc(S(=O)(=O)c2ccc3c(c2)O[C@H]2CNCC[C@@H]32)c1.Cl	7.19
1658	Ki	52.0	CN(C)CCc1cccc(NS(=O)(=O)c2ccccc2)c1	7.28
1659	Ki	21.0	NCCc1cccc(NS(=O)(=O)c2ccccc2)c1	7.68
1660	Ki	6.0	NCCc1cn(S(=O)(=O)c2ccc(Cl)s2)c2ccccc12	8.22
1661	Ki	4500.0	CN(C)CCc1cn2c3c(cccc13)-c1ccccc1S2(=O)=O	5.35
1664	Ki	404.0	C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1	6.39
1666	Ki	38.0	NCCc1ccc(NS(=O)(=O)c2ccccc2)cc1	7.42
1667	Ki	57.0	O=S(=O)(Nc1ccc2[nH]cc(C[C@@H]3CCCN3)c2c1)c1ccc(Br)cc1	7.24
1668	Ki	83.0	NC(=O)c1ccccc1OCCCN1CCN(c2cccc3c2ccn3Cc2ccc(F)cc2)CC1	7.08
1669	Ki	13.0	O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4ccn5Cc4ccccc4)CC3)cc2N1	7.89
1670	Ki	150.0	O=C1CCc2ccc(OCCCCN3CCC(c4cn(Cc5ccccc5)c5ccccc45)CC3)cc2N1	6.82
1671	Ki	4.0	O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1cccc(C(F)(F)F)c1	8.4
1672	Ki	1574.0	Cc1ccc(Nc2c(S(=O)(=O)c3ccccc3)cnc3ccc(Cl)cc23)cc1	5.8
1673	Ki	4.0	CC(C)CS(=O)(=O)n1ccc2c(-c3ccc(C(F)(F)F)cc3)cc(N3CCN(C)CC3)nc21	8.4
1674	Ki	16.0	CC(C)CS(=O)(=O)n1ccc2c(-c3ccccc3)cc(N3CCN(C)CC3)nc21	7.8
1675	Ki	3.0	Cc1nc(N)sc1S(=O)(=O)n1cc(C2CCN(Cc3ccccc3)C2)c2ccccc21	8.52
1676	Ki	1.5	COc1ccc2c(c1)c(CN(C)C)cn2S(=O)(=O)c1ccccc1	8.82
1677	Ki	13.0	O=S(=O)(c1ccc(F)cc1F)n1cc(C2=CCCNC2)c2ccccc21	7.89
1678	Ki	58.0	Cc1nc(C)c(S(=O)(=O)n2cc(C3=CCCNC3)c3ccccc32)o1	7.24
1679	Ki	2.0	O=S(=O)(c1ccccc1)n1cc(C2CCCNC2)c2ccccc21	8.7
1680	Ki	33.0	Cc1ccc(S(=O)(=O)n2cc(C[C@@H]3CCCN3)c3ccccc32)cc1	7.48
1681	Ki	40.0	COc1ccc(S(=O)(=O)n2cc(C[C@@H]3CCCN3)c3ccccc32)cc1	7.4
1682	Ki	3.0	CN1CCC[C@H]1Cc1cn(S(=O)(=O)c2ccc(N)cc2)c2ccccc12	8.52
1683	Ki	4.0	CN1CCC[C@H]1Cc1cn(S(=O)(=O)c2ccc(Cl)s2)c2ccccc12	8.4
1684	Ki	1.0	CN1CCC(c2cn(S(=O)(=O)c3ccc(Cl)cc3)c3ccccc23)C1	9.0
1685	Ki	3.0	CN1CCC(c2cn(S(=O)(=O)c3ccc(Cl)c(Cl)c3)c3ccccc23)C1	8.52
1688	Ki	79.43	O=C(/C=C/c1ccc(Cl)c(Cl)c1)NCCCCCN1CCC(c2c[nH]c3ccc(O)cc23)CC1	7.1
1689	Ki	35.0	O=C(O)C(=O)O.c1ccc(Cc2ccc(N3CCNCC3)c3ccccc23)cc1	7.46
1690	Ki	100.0	c1ccc2c(N3CCNCC3)cccc2c1	7.0
1691	Ki	50.12	CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1	7.3
1692	Ki	413.0	COCOc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccccc3)CC2)cc1	6.38
1693	Ki	1152.0	O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NCc1ccc(OCCCN2CCOCC2)cc1	5.94
1694	Ki	395.0	C[C@H]1CN(c2ccccc2-c2ccccc2)CCN1CCCCCC(=O)NCc1ccccc1	6.4
1695	Ki	15.3	Cc1c(OCc2cccc(C#N)c2)cccc1N1CCNCC1	7.82
1696	Ki	1.3	Cc1c(OCc2ccccc2)cccc1N1CCNCC1	8.89
1697	Ki	295.9	O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	6.53
1698	Ki	32.0	CN(C)CCn1cc(Cc2ccccc2)c2ccccc21	7.5
1699	Ki	124.5	Cc1cccc2c1N(C1CCN(S(=O)(=O)c3csc4ccccc34)CC1)C(=O)OC2	6.91
1702	Ki	6213.0	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	5.21
1703	Ki	98.0	CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2c(F)cccc21	7.01
1704	Ki	7.84	Cl.Cl.O=S(=O)(c1ccccc1)n1ccc2c(CN3CCNCC3)cccc21	8.11
1705	Ki	0.7943	COc1ccc2c(c1)c(CCN)cn2S(=O)(=O)c1cccc2ccccc12	9.1
1706	Ki	22.0	CC(C)c1ccc(S(=O)(=O)c2cccc3oc(N4CCNCC4)nc23)cc1	7.66
1707	Ki	52.0	CN(C)CCc1cccc(NS(=O)(=O)c2ccccc2)c1	7.28
1708	Ki	0.3	CN1CCC[C@@H]1Cc1cn(S(=O)(=O)c2ccccc2)c2ccccc12	9.52
1709	Ki	193.0	O=S(=O)(c1ccccc1)n1c2c(c3ccccc31)CCNCC2	6.71
1710	Ki	124.0	CCCN1CCc2c(n(S(=O)(=O)c3cccc(OC)c3)c3ccccc23)CC1	6.91
1711	Ki	37.0	NCCc1ccc(S(=O)(=O)c2ccccc2)cc1	7.43
